page_name,author_title,author_id,review_text,review_datetime_utc,author_recommends
Eastern CT Savings Bank,Ziku Kotwana,pfbid02yXAciBoTVHYkZkpWq5JXQ59Z9H2n9kweyqAx3nHfNs5HTdYchkm92a88ZxtT9YkNl,"Investment is the best way to generate more income for yourself. Trading and investing with a super platform and a trusted account manager. Mrs. Hendrick Jennifer. I earned a profit of 10% daily and a total of $6,300 after 7days of successful trading and mining for me with a minimum investment of $500 in my wallet, I watch my Profit grow daily until I made my withdrawal successfully myself from my wallet and I converted the bitcoin into cash successfully. and gave back 20% as commission. Thank you very much for your diligent work Hendrick Jennifer I strongly recommend Her to anyone who is interested in trading. Contact her through her: Email: hendrickjennifer550@gmail.com
WhatsApp: +13856454058
https://www.facebook.com/profile.php?id=61550989666096",03/22/2024 13:34:16,True
Eastern CT Savings Bank,Alice Aria,pfbid0mFfRmnxpkYCo4EANNRqazoKXFyBSPN6QMLaNRbVFpC6hVZ7Mj6Ny2cHDbxZbJ9Qkl,"I've seen and invest with many online angel investors but I've never seen someone so fast and who have made me huge profits like ""Mathew navas"" before. I was blown out after he made me a profits of $9,000 just within seven days with $1,100 amount of investment. Contact him now via WhatsApp: +1 619 928-5385 / Email address mathewnavas691@gmail.com if you're interested",02/16/2024 01:34:00,True
Eastern CT Savings Bank,Rebecca Robert,pfbid02uSBS2Q2WvX3jSuNnYzhPncyMHWbnXCz52quVtAS4VGeqjGt8bfbMo1t16nijJTSSl,"REGINA NATHAN  is a TOP NOTCH investing company! Firstly, her trading skills are outstanding. Sometimes you so many recommendations about traders online and then you give them a try and you don't get the results you wanted, The concierge service is great and there for you whenever you need any help or have any questions in forex trading/Bitcoin! 
I will certainly be booking a few times a month with Regina Nathan - Can't recommend her enough!
Email: nathanregina99@gmail.com                                                             WhatsApp:+15713548374",09/20/2023 19:36:50,True
Eastern CT Savings Bank,Nolow Sadi Love,pfbid0274t52U3Dz6twH4SkCT4fdquCcSWiGWu7uE6eQ1AvfGtqWTNgNQ3LCP1XaYrH4THul,"Dedicated trading platform they always go extra mile to keep up with good trading results. The tools are of great help to me. I am fully satisfied with all of their services including profit. I never worry about losing my money. I confidently make my investments with Mrs. Melissa Lepore Fx because I get the best advice from the greatest and best forex account manager. Good trading platform responsible to deal with. Really, guys, if I had known earlier that it was possible to make better profits and making fast withdrawal I would have started an investment earlier.
They've been very honest and good to me. I am satisfied with my profit. Sure to recommend them.
Thanks Mrs. Melissa, contact her on DM her via.
WhatsApp:+1 (707) 518-3583
Email:Melissalepore418@gmail.com",07/11/2023 23:46:42,True
Eastern CT Savings Bank,Mtho Bisi,pfbid0Wx6yRZdrhMjynZC7geyLQNu2E9yr2q8f6N6K8mfuHWUbsifryPXwPi4GLWQ3woS2l,"I was checking out reviews about Bitcoin Expert traders on Facebook but was scared to invest  into a wrong hand, until I decided to invest with Mrs KRISTINA SCOTT  and she turns out to be the best among all. I invested just $1000 and received a profit of $10,200 after 7 days. You also want to trade with a legit Expert trader? Contact Mrs KRISTINA SCOTT
Email:Kristinascott122@gmail.com
WhatsApp:+1(360)504-6439",07/26/2023 08:35:14,True
Eastern CT Savings Bank,Thulani Nombanga,pfbid0rfyEvJjJSQKhfX55g8XM3Zs7FXs6qiiBkk1gVBf8z3Nnw8RDbyguR7xoMGUxTwoUl,"Super amazing platform, easy to use and quick withdrawal. I have been using this platform together with the most recommended Forex strategy on the internet from Mrs Anita Crypto FX. and so far i have no complains, making close to $7000-$15000 on a weekly basis. She is really great, best in her field and unique among others.  i am thankful and want you all to partake from her good works. Contact her via her  
Email: anitacrypto44@gmail.com 
WhatsApp: +15023245963",06/27/2023 00:32:20,True
Eastern CT Savings Bank,Thomptson Micheal,pfbid0gJDrENW1HHDXDPpDVAkR2EpYufWApgDUmyeJ73NxPLUwNgG4yPF57JEJMnip9T2gl,"Don't believe in luck, I believe in trust and understanding, I've been with Mrs. Taisha Carson for some years and I've made good amount of money with her simple strategies of trading. Meeting with her has been the best experience that has happened to me in this past few years and I'm expecting yet another payment from the broker today. Scammers are everywhere but to find a reliable trader like Mrs. Taisha Carson, Hash is not an easy task and my advice for you all is to come over and join her contact her directly on her 
Email: taishacarson025@gmail.com
Whatsapp: +1(619)241-4352
Facebook: Taisha Carson",09/10/2023 17:56:34,True
Eastern CT Savings Bank,Sandile Potiane,pfbid0uq7eSwnFUcAwRXgtP59w6f6wdBZg9VbCY46883kBY3H8AKJs2dv6WbMHPKF3ES3bl,"People keep talking about your trading strategies, I must say you are one of the best traders ever, I recommend you!! Mrs. Anita Crypto Fx  to every Investor out there. I couldn’t have done it without your expert services. I am very appreciative of your efforts, and I look forward to continuing to work together with Mrs. Anita.
company line!!
WhatsApp +15023245963                                                    
Email: anitacrypto44@gmail.com",06/15/2023 16:37:34,True
Eastern CT Savings Bank,Ahmad Muhammad,pfbid031qAfQrrvbcZxD4dvvCysZdZrxuZxygZRCZFHdMyYb57rVVhnaiS8nPVHBbJjaEZnl,"I had the best experience working with Mrs. Hailey Madison FX She started managing my trading account with my first deposit of $1000 and made over $10,550 in less than 2 weeks  Thank you for making the process stress free! Highly recommend Mrs. HaileyMadison FX to anyone regarding their account managing needs! she's very hardworking and her professionalism is top-notch and worth sharing, Contact her and you won't be disappointed her service is one of the best and I'm glad to testify about it anywhere, anytime. DM her WhatsApp‪+1 (434) 751-0772: or 
Email: HaileyMadison962@gmail.com",06/05/2023 09:50:25,True
Eastern CT Savings Bank,Margaret Bassey,pfbid0zRhRJtjDTtjhYBWuCEVWSzKfGZXvNCZWi75pQuK5ov8VA4cXNSzV85ea99iWLCvGl,"As a first time investor, I went into it with very little knowledge on the crazy world of Forex trading. MRS. EMILY ALISON worked extra hard to educate me and ensure I felt comfortable and confident through the entire process .investing as little as $2,000 her made a huge profit on my account $17,000 When it came to Withdrawal aspect i did it easy to my bank account , I have to say she knew what I wanted better than I knew myself. she went the extra mile just to clear my doubts. This was such a positive experience all around for me and I wouldn't have been able to do it without her! I will definitely be recommending her to you all☺ there are no hidden charges. 
WhatsApp number: +1(248) 266-2859
Email : emilyalison691@gmail.com",05/30/2023 12:47:32,True
