datetime,author_title,review_text,review_rating
03/22/2023 19:41:57,Andrew Church,"After the financial crisis of 2008 I decided it would be wise to diversify my banking relationships.  DR Bank seemed like a good fit as an addition to my much larger major bank.  The first thing I noticed when I walked in was how friendly and welcoming everyone was—the manager, the tellers, everyone made me feel right at home.  Once we got my accounts up and running I was very pleased to see that DR offers the same advanced level of service as the “big bank” with which I was accustomed.  I travel constantly, having reliable online access to banking is important to me, and I have not been disappointed.  By the time of this review I have been a loyal customer for 14 years.  I still enjoy walking in and seeing the staff when I’m in town, who are always happy to greet me, help me, and find out where I’ve been and what I’ve been up to.  By far the best thing to come out of the financial crisis of 2008 was my first visit to DR Bank!",5
03/10/2023 13:15:21,FigTree Designs,"We have an Interior Design business in Rowayton and have used DR Bank for many years for all our banking needs. Claudia and Tony are always very helpful and go above and beyond to make our lives easier when we are banking. They care for their customers, and even their customers dogs! Our dogs are always welcome, and get excited for a treat from Claudia. We love the warm and friendly atmosphere that is always present at DR bank.  We highly recommend the whole DR bank team!",5
03/08/2023 22:47:06,Elizabeth Hawes,"I've been banking with DR Bank since 2009 and I have been thrilled with them! They are truly a neighborhood bank, giving extremely personalized and friendly service. It's wonderful to walk in and they know your name and are quick to reach out whenever there is any type of issue with the accounts. I bank primarily at the Rowayton Branch; Claudia and Tony are the BEST, along with the rest of the team at the branch. I can't recommend them enough.",5
03/08/2023 17:06:11,Andrea Huntington,"I volunteer for a local non-profit who banks with DR Bank. We have been very happy with their service! They are responsive, timely and flexible in meeting our (small) but important financial needs. The location is very convenient and incredibly kind and welcoming staff.",5
03/17/2023 16:12:25,Jamison Davis,"We have banked with Morgan Stanley, Chase, and Citibank, but none compare to the superlative personal service of DR Bank where we have consolidated most of our accounts. Our relationship is overseen by two of the most dedicated bankers I have ever worked with - Arthur Murphy, Vice President and our day-to-day champion, Mallory Birmingham. I could not provide a higher endorsement of this great bank and the exemplary people we work with there. They are simply the best.",5
03/07/2023 19:33:50,SoNo Lacrosse,"I've been with Darien Rowayton bank going on 17 years for business and personal. I've also had during the same period for other businesses, People's,Chase and TD Banks. There is no comparison to customer service and personal attention. One needs personal attention in good times but especially when business is going through rough times such as 2020. I have the confidence in communication and follow through that keeps me here. The staff is great, not always turning over as in the other banks,  can answer my questions and address my concerns timely.",5
03/13/2023 19:39:51,Linc walworth,"Our family has been a client of DR Bank for over 20 years. The bank always provides great, personalized, service and ""goes the extra mile"" when our needs require it.  Special shout out to Claudia Carbonara for knowing how to get things done in a professional, caring, and friendly manner.  She's wonderful!",5
03/07/2023 19:15:32,Priscille Schwartz,"Our business has been banking with Drbank for many years and we have always had nothing but excellent service at their lovely Rowayton branch. The staff is very professional and knowledgeable and they make each and every customer feel welcomed as soon as they walk in the door. Their online banking is easy and friendly. Whenever we have an issue, they go above and beyond to help us out. Great experience and highly recommended for all your banking needs.",5
03/10/2023 14:40:46,Sheri Snow,"The company I work for uses DR Bank and, as the one-man accounting department, I am the main contact.  I can truly say they make banking a pleasure - they are always friendly, they understand the company and its needs and they go above and beyond in assisting us.  It's nice to have a local bank that knows us!",5
03/07/2023 19:33:09,Greg L,"Our family are long time customers of DR Bank in Rowayton and cannot speak more highly of the team.  The level of service and genuine care for their customers sets them apart from the competition.  I would strongly recommend Claudia, Tony and the DR Bank team.",5
03/11/2023 13:40:26,Dean Ravosa`,"There are not many businesses in town that you can walk into on a first name basis - but this is one of them.  The DR Bank team consistently provides incredible banking services, and they always go out of their way to take care of their clients on a personal basis.  Highly recommended.",5
