datetime,author_title,review_text,review_rating
09/08/2023 10:26:43,Nancy Romberg,"I recently visited the Stamford Office.  What a delight to work with Theresa. Not only did my needs get met with ease, promptly and professionally, I heard about new things coming to the branch and felt like a valued client.  Even though online access is efficient, there is nothing like personal, face to face interaction. Ron came into the office to greet me as well.   Friendly, knowledgeable…. It’s like family.  This bank is big bank services with community bank warmth and welcome.  Nothing better…. Thank you!",5
09/21/2023 18:25:56,Mildred Arteaga,"My employer and myself are very grateful of the Fairfield County Bank team for their exceptional service. Ron at the East Main St branch is always so friendly, professional and helpful. Juli from the corporate office is also wonderful to work with and always very responsive. Highly recommended!",5
10/05/2023 19:16:02,Diane Krenicki,"Ron is always a pleasure to assist me with anything!
And he does so with a smile.  He is pleasant, knowledgeable and courteous. He always knows my name, even asking about my husband Dan. He is a top ten employee for Fairfield County Bank!",5
08/31/2023 13:51:05,Anissa Andrews,"My company uses this branch for all of it's business needs. Even though I don't visit much (business is mostly online), when I do, everyone is very professional, kind, and patient. Ron makes himself available to answer any questions and always replies in a timely manner!",5
06/20/2023 14:34:08,Donna Wolff,"I have been a client of Fairfield County Bank for 6 years. Their service is exceptional and their fraud alert system found a fraudulent charge and notified me before It posted! My local branch staff supervisor, Ronald Coke and rest of staff provide friendly and exceptional service. I highly recommend this bank!",5
03/06/2023 14:39:59,V Veseli,"I love coming to this branch. Everyone is so kind and professional. They seem to really enjoy their job and most importantly care about their customers. Thank you Ron, Melissa and Kat for always making my experience fun and easy !",5
08/02/2023 19:16:33,Ideal Tile of Stamford,I have been banking with this branch for 7 years.  They are always helpful with our insurance and daily banking.    Tellers and managers have been great to work with.,5
02/07/2023 20:33:30,Martha Weiss,"Ron, Melissa and Kay could not have been kinder.  They went above and beyond with professionalism to help me work through the financial process comfortably, and also helped comfort me as I explained the painful personal issues that required my visit to their bank.  I wish I could give them 10 stars!",5
08/30/2023 23:17:37,John Rovegno,"The East Main Street branch rocks!
Always a most pleasant experience visiting this team for checking, savings, investment, mortgage and insurance needs.",5
12/05/2022 15:06:40,Linda Shippee,"Excellent customer service.  Everyone is friendly, always calls you by your name, egar to help and very knowledgable.  This is a great branch of Fairfield County Bank with great, exceptional employees.",5
11/02/2022 14:57:53,Garrett Alread,"When I moved to Stamford 3 years ago, this branch made me feel welcome immediately  - Ronald has always provided exceptional service as well as the rest of the staff! Can’t say enough about the customer service and friendliness of everyone, would highly recommend!",5
04/30/2023 15:09:39,Voula Varnavelias,"Ron, Maria, Kathryn, and Walter always go above and beyond to satisfy customers.  They are always greeting with a smile and they always make my day special.  Thank you for all that you do.  Nick",5
06/21/2022 18:20:43,Joseph Cornacchia,"In a day in June, I met with Fairfield County Bank’s Staff Support Supervisor, Ronald Coke to open a checking account. Ronald conducted himself in a direct, friendly and intelligent manner.
Ronald made opening a checking account simple, understandable and easy! He was informative as I opened and registered my Fairfield County online account. Ronald was extremely patient! He took a significant amount of his time to make me comfortable and knowledgeable with banking at Fairfield County Bank. Thank you Ronald Coke for your time, intelligence and understanding!",4
03/08/2022 10:19:56,Todd A. Haimerl,"I have been working with this branch for the last 4 years. The people are great, super friendly and always inviting when I walk in. The service is excellent, very quick and Mr. Coke helps me with all of my business needs and account requests. Keep up the great work!!",5
02/04/2022 15:20:46,manuel jurado,Kat and Melissa are always super helpful when I come to the drive . Janet and Ron do an awesome job as well and they have great team camaraderie in Stamford. Love this branch and the staff!,5
02/24/2021 16:08:06,Boris Sapozhnikov,"A great bank where you feel more like a family member than a customer. The staff is incredibly helpful and mindful of your time, so you’re never there longer than you need to be. Ron Coke is one of the nicest and most helpful employees I’ve delt with at any bank ever! Highly recommended, all your banking needs will be met here.",5
05/07/2021 16:35:25,Chadwick Ciocci,"I absolutely love this bank and branch! The staff is incredibly professional and helpful. I once lost my wallet in a foreign country and they worked with friends / family back home to get me a new debit card so I could return home! My other banks were not willing to help in this way. They are also just generally warm and friendly, which is not common at other banks I have dealt with.",5
02/07/2022 19:00:56,David Lopez,"Love the people who work at this location! Melissa, Katherine and Ron always greet you with a big smile and they always make you feel welcomed.
Keep up the good work guys!",5
09/08/2022 18:56:10,Jamie Heffernan,"I truly enjoy going to this bank branch on East Main in Stamford. The staff is super friendly and accommodating, always greeting me with a smile and positive energy. It’s a pleasure to visit.",5
