datetime,author_title,review_text,review_rating
03/12/2024 16:24:57,onemadone1,"All of the staff at the Fairfield County Bank Madison Ave., BridgePort are fantastic. I enjoy every time I walk into the bank and they handle all of my issues with the utmost of care. I highly recommend this bank to anyone looking for the small town bank experience.",5
12/23/2023 14:31:37,Steven Ferreira,Absolutely the best customer service. I look forward to see Veronica. She is truly the best. She take such pride with her clients. Love the Bridgeport branch.,5
10/23/2023 22:30:45,Kellie Boland,"The customer service received was exceptional.  Veronica responded promptly and professionally to my inquiry and she went above and beyond to resolve my issue in a timely manner.
Overall experience, 5 star.",5
04/21/2023 19:09:35,Obiora Nkwo,"The personal banker Veronica was excellent and go above and beyond to assist me.
More importantly, she was very personable, professional, and always a pleasure to work with. She knows everyone by name and makes you feel welcomed.
I always look forward to going to my bank because they treat me like family. Awesome service with excellence and professionalism.",5
03/30/2023 03:10:19,Nana Cinnabun,"I opened an account here approximately a month ago, every single time I walk into the bank I'm greeted by my name.
Veronica herself greeted me by my full name. I must say, I'm pretty impressed.
It's wonderful knowing the staff at the bank knows your name it makes you feel welcomed, invited and cared for.

Veronica was an absolute joy to work with. She not only helped me open a money market account but also a checking account. She is always smiling and happy, I love that about her.
I appreciate all her efforts.

Showing me the ins and outs of how it all works.
I definitely recommend banking here.

Looking forward to speaking with Walter Romero who does their investments here at this branch.

I had opened an account with Webster Bank, they required a thousand dollar monthly balance in my checking account. So I decided to see what my jobs bank offers which is Fairfield County Bank, they only require a hundred dollars. So it's pretty self explanatory why I closed my Webster account and brought my money here to Fairfield County Bank.

I just want to say.. such a great experience over all.
Thank you to the all the Employees that put their time and attention into each customer that does their banking here.",5
04/27/2023 16:36:49,Racquel Foster,"The staff at Fairfield County back are personable, welcoming and engaging. You are always greeted with a warmth that is unmatched. You are always greeted by name. Banking with Fairfield County bank is a great experience that makes you feel valued and appreciated. Veronica is extremely jovial and enthusiastic and energetic when she ushers you through the door. This is the best bank to do business with. Hands down.",5
02/14/2023 16:41:26,Daniela Dzv,"Lovely branch and warm environment. Veronica and Patty is always welcoming with friendly smile and eager to help you. Staff members had always shown me kindness, respect, professionalism and a friendly smile. I can’t recommend them enough for all your banking needs, you wouldn’t be disappointed!",5
05/02/2023 15:10:10,Heather,Chelsea and Veronica are absolutely amazing! Chelsea has been so knowledgeable and helpful to me. Veronica has excellent customer service skills and is so welcoming every time I come in. All the tellers are great too.,5
04/17/2023 21:35:35,Ariana Scianna,"Every interaction with Veronica, and all of the staff at this branch, has been pleasant and thorough. Veronica has worked with me and my husband to establish secure accounts. She has been informative about services offered at this bank, and I am confident in my investments at FCB!",5
06/12/2023 12:20:25,Laura Maresca,The staff at FCB on Madison Ave is amazing. They are Friendly and extremely helpful.  They walked me through a recent transaction and were more than patient.  My husband and I have banked here for years and would recommend the staff and the bank to anyone.,5
07/17/2023 18:04:02,David Gavi,"Veronica has assured me with opening multiple business accounts, and with more!

I appreciate the community focus, helping team, and professionalism that everyone holds.

Looking forward to staying with this team for the long run!",5
02/22/2023 19:46:51,Anca Ghelmegeanu,"We have been a customer since 2013. Our company has multiple business accounts and we also have several personal accounts. We actually switched our accounts to Fairfield County Bank, because we had received such great service from the Bridgeport branch manager Mrs. Odette Batista at our previous bank. We just had to follow her when to Fairfield County Bank and we couldn't be more pleased with the service we have always received from her. Each and every person, I have had the pleasure to work with at the Bridgeport branch and especially Veronica Foncello has been very courteous, knowledgeable, friendly and helpful. Such service is very hard to find in the banking industry, where most of us feel like a number. It is very comforting to know that your bank knows you by name and takes an active interest to ensure the success of your business. I have been many times at the branch and it always feels warm and inviting. All our banking needs are processed expeditiously and we highly recommend the Bridgeport branch.",5
12/29/2023 21:58:53,Tyler Singewald,Absolutely the best customer service. I look forward to see Veronica.  Bridgeport is the best.,5
10/27/2021 13:39:38,Wesam Zaytoun,"I have been a customer with the Bridgeport Branch for many years. I cannot say enough about the team there! They are unbelievable - a spectacular bunch of people. Odette always goes above and beyond to help me with my banking needs. As for the tellers, Janina, Ana and Veronica are always helpful even though this branch is so busy :)",5
07/09/2021 15:23:25,Alessandra Talloni,"Veronica Foncello has helped me on many occasions. She makes coming in to the bank a pleasant experience. Everyone here is very friendly and they treat you like family. This is the best bank I have ever been to and I could not image banking without them. The staff is eager to help their customers especially going up and beyond, I cannot say enough nice things about this bank and the wonderful workers.",5
03/30/2022 01:31:14,Ami Dantwala,I cannot say enough great things about everyone I have dealt with at Fairfield County Bank!  .Everyone here is very friendly and they treat you like family .Veronica Foncello has helped me on many occasions. She makes coming in to the bank a pleasant experience. She is a pure gem.,5
02/05/2021 23:58:46,Alexis Maresca,"Fairfield County bank is so wonderful!! They are the best! All the staff are extremely helpful, friendly, and honest. Odette Batista, the Bridgeport Branch manager, is the absolute best. She is incredibly knowledgable, and provides the best customer service. She truly cares about her clients, and works hard to ensure we are happy and content. She is very accommodating and so supportive. Everyone at Fairfield County bank has always been so nice, and really knows their stuff!!",5
02/02/2021 01:54:03,Barbara Esposito,"Best Bankers Ever!  I have been working with this branch (Madison Avenue) for over 11 years.  Customer Service is outstanding.  I love that they know who I am, greet me by name, and every single teller makes me feel like my business matters.  Even during the pandemic Odette kept the bank running like a well oiled machine, and Veronica ensured my wire transfers went through.  It is so refreshing in this day and age to have consistently outstanding customer service.  I have on occasion had to visit different branches and I mean it when I say they are all good but none can hold a candle to the wonderful people at Madison Ave.",5
06/09/2022 00:38:32,gmk j,Everyone here is super friendly and Veronica has taken great care of me for over 10 years now. If anything comes up she doesn't hesitate to call me. I'd much rather bank with a small and personal company than a nationwide branch where you are just a number.,5
01/30/2021 18:15:10,Richie Dai,"I have been a customer at the Madison Avenue branch in Bridgeport for many years. The customer service, from the time I first walked through their doors, up until today, has been exceptional! The staff is always friendly, positive and especially proactive with new information pertaining to a better banking experience or avoiding potential transaction issues. Staff members Paula, Veronica,  Anna, Janna and Evette go above and beyond, to make sure myself and other customers feel welcome, and leave satisfied and happy. This is no longer just another place I do business; I now consider the staff my banking family. I wish them all the greatest success in 2021 and the years to come!

Your Faithful Customer,
D. Frances",5
03/15/2024 23:33:50,Sherry Condaris,Great people that work there. Patricia and Maria are the best,5
03/28/2022 18:25:30,William Berkowitz,I was having difficulty accessing my account on line. I drove to the Bridgeport branch and Veronica and her assistant immediately diagnosed the problem and then solved it for me. It was a very pleasant experience. There's an advantage to dealing with a smaller local branch where everyone is concerned about keeping the customer happy.,5
10/28/2022 20:34:59,BIG LEX,Paola Janina Danish Veronica Chelsea Theresa n the rest of the staff in Madison ave branch are the definition of professionalism and Family oriented team . The way they help you and explain to you the ways of banking is tremendously comforting and brings you to the next level of banking where not just yourself but your family benefits from them . The passion to help is none unmatchable anywhere else,5
03/26/2021 13:51:20,Richard Lovanio,"Fairfield county bank Bridgeport branch are the best.  Odette goes above and beyond to help me. They treat me like I am part of their family. I love all the girls as well. Paola,Ana, Veronica and Janina. I am not going anywhere. Best bank in Bridgeport!",5
02/03/2021 16:37:04,Frank Byrne,"I switched to Fairfield County Bank over 12 years ago and never looked back.  Over those 12 years there have been many highs and lows in my custom cabinet business and I can say with all honesty that Odette, Veronica, and Yvette, as well as every single employee at the Madison Avenue branch have made my business banking seamless.  Their knowledge of the banking industry (including international) is outstanding.  Only with their help was I able to secure both PPP loans and keep my business running (and 10 employees paid) through the height of the pandemic.  They are like family...I know I can count on them through good times and bad.  So grateful for this group of hard-working, dedicated folks.",5
03/30/2021 19:24:19,Catherine Dupar Skelly,"The Bridgeport Branch and staff are wonderful! They are friendly, helpful, professional and prompt with their customer service. A special thanks to Odette Batista, the Branch Manager who goes out of her way to accommodate customer requests and is such a pleasure to work with. You all couldn't do any better, you're THAT GOOD!!!!!",5
02/09/2021 19:16:49,Viking Construction,"Great customer service that you can bank on! Viking Construction has banked with Fairfield County Bank for years – they are both receptive and responsive. When we bank in person, we head to our neighborhood Bridgeport branch where Veronica and her team make us feel welcome and valued. They always take care of us!",5
10/27/2021 13:29:09,elin cohen,"Odette Batista at Fairfield County Bank always goes above and beyond to help with all of my small business banking needs. She helped us through every question we had about loans, covid relief, and any other banking questions. Odette is always available when I have needed her. I am always appreciative  for her generous help and advice. This is a true local, caring banking experience.",5
04/29/2021 15:58:05,Tim Holder,"This branch is my favorite one to visit as the team there are so friendly and courteous.  Veronica, the Service Operations Manager, is so helpful and always remembers my name, even though I'm only there a few time per year.
I'm grateful to have such a warm and welcoming group of people ready to greet me whenever I visit.",5
11/05/2020 15:48:18,jess Mauro,Fairfield county bank in Bridgeport is by far the best bank I have ever dealt with. They are so helpful with whatever I may need and always go that extra mile to make sure I am happy and answer all my questions! The branch manager and assistant manager are amazing!!!! Very professional and courteous at all times as well as all the tellers. Wouldn’t bank anywhere else!,5
10/27/2022 22:36:21,Nisar Nomani,"One of the best banking service i have received.
I was with Chase for 20+ years before than i switched to Fairfield county bank. one of the  Best personalized banking service i have ever received.
All staff members are amazing Ana, Paola, Janina, Veronica, Odette.",5
02/02/2021 18:28:45,Scott Hugo,"Veronica, Odette, Paola, Ana and Janina are great.  I rely on them for all my business banking needs.  They are always available to help! FCBC does all the little things Big Banks have long forgotten - personalized customer service!",5
02/26/2021 19:51:25,JahMakings Cuisine,"So, in the previous weeks I have been experiencing issues regarding my invoices and balances.  This then resulted in me contacting the bank frequently.  With that being said, the staff there has been extremely helpful and patient with all my silly questions/concerns once I realized what my issues were. I will like to say much appreciation to some of the staff members that has assisted me on this matter. The names are: Anna, Paola, Janina, Veronica and Odette. Thank you!",5
02/02/2021 22:07:52,Robert Silk,"I am a customer of the bank and have been for over 10 years, I have been very happy with the service I have received both as a small businessman and regular depositor, The following people Veronica. Paola. Ana. and Janina have always treated me professionally and respectfully, I would highly recommend this Bridgeport branch of Fairfield County Bank,",5
11/09/2021 13:29:59,Lucille Wilson,"Fairfield County Bank on Madison Ave, Bridgeport, CT has a phenomenal team of employees. Veronica I truly appreciate you! Thank you for your professionalism. I've been a customer since the age of sixteen now in my fifties.",5
02/12/2021 19:07:51,Daniel Pizarro,"The staff in this location is what really has me as a customer. This location has a set of people, they are wonderful and always working hard. They are committed to provide great service to all.  They are transparent and communicate always with me and if issues do arise they act quickly to painlessly resolve it. Hats off to Paola, Ana, Veronica, Odette and Janina.",5
02/25/2022 16:57:39,Michelle Costa,"Odette and the team here at Fairfield county bank have been a pleasure to work with. Odette is always super professional, kind and considerate every time any banking needs are met! This is a great bank to be apart of.",5
05/08/2021 01:22:43,Ronny Solano,Veronica and team at the Bridgeport branch are all incredible people. Walking in each and every time feels like you're stopping by a friends house. And the service and help with all my banking needs is always flawless and fantastic!,5
08/19/2020 01:05:04,Melissa Rua,I’ve been a customer of Fairfield County Bank for many years. Everyone at the Bridgeport location is great. Yvette and Odette are always so helpful and very responsive. They truly give the personal attention that the bigger banks lack. I’m very happy with Fairfield County Bank.,5
03/25/2021 16:26:47,Hitesh Awadaria,"Best bank ever , I am going Bridgeport branch from long time . Excellent customer service. Very helpful staff . All staff members ( Paola, Ana, Veronica, Odette and Janina) are best and always helpful.",5
