datetime,author_title,review_text,review_rating
02/01/2024 00:11:02,Christine Farrington,We're new to the neighborhood and we're looking for a bank.  The interest rates are competitive and the service provided by AVP Assistant Branch Manager Diana Kessler was friendly and efficient.,5
01/29/2024 15:19:46,Megan Couri,Diana Kessler is a wonderful and friendly manager. She helped me set up a business account quick and easy with no hiccups.,5
07/11/2023 17:53:44,Brayton Sparks,Do not apply for loans here. They sell your information and nobody even called me about my application. Also I had no help filling it out. Other banks have helped me fill everything out much to provide a better experience.  I’ve gotten so many calls for telemarketing after applying here. Go to BOA much better experience. I don’t get why people like small banks. Never have had a good experience. From when I bought my home 3 years ago …. This bank was disappointing and to my most recent experience.,1
06/22/2023 19:09:55,Dr. Brittny Howell,"We became clients after being defrauded at a major worldwide bank, and we couldn’t be happier. Everyone we now have the opportunity to work with is incredibly thorough, helpful, and compassionate. I’d like to give a special shout out to Alexis Burch and Kathy Graham.",5
05/16/2023 20:00:06,Tracey Katrina Leon,Alexis Burch was wonderful and made it so easy to pen a new savings and checking account.  Her knowledge and communication skills are exceptional.  I’d give her 10 ⭐️ if I could.  So glad I am a new customer,5
08/11/2022 20:33:51,Judith Factor,Friends of Karen is grateful for the support of Fairfield County Bank and their community of employees and customers.  They partnered with us to collect school supplies and back packs to donate to the local families caring for a child with a life-threatening illness such as cancer.  We received 100 gorgeous back packs and a marvelous array of school supplies that will be given to children whose lives have been turned upside down due to serious illness.  The Fairfield County Bank is an integral partner in promoting the well-being of those living in their locations throughout Fairfield County.  We are proud to be a beneficiary of their good works and truly value a business that takes such in active role in the community in which its customers and employees live and work.,5
01/20/2024 17:12:39,Geoffrey Morris,"Great friendly service and knowledgeable staff, comfortable branch, and multiple ATMs in its area",5
05/10/2022 19:21:17,Christopher Curran,"Our 501(c)(3) charity, Kindness Over Muscular Dystrophy, has been banking with Fairfield County Bank for a little over two years now and we could not be more pleased with the level of service and professionalism. Kathy Graham, the Ridgefield CT bank manager, has been responsive to our questions and helped us on numerous occasions quickly get the answers we needed to proceed with our charitable programs. Customer Service Representative, Alexis Burch, has also helped us on several occasions and we found her to be very thorough in tracking down a charge that we had trouble identifying. In fact, the entire staff at the bank is friendly, welcoming, and always willing to go the extra mile to resolve any issue we might have.
Community banks are the backbone of this country and Fairfield County Bank helps so many local Ridgefield merchants do business -  that benefits all of us in Ridgefield! We are proud to support this excellent bank.

Christopher and Jessica Curran
Kindness Over Muscular Dystrophy",5
10/08/2021 23:26:05,Robert Frey,"We had a serious problem with our checking account information being stolen and a check of ours being cashed. When checking my Fairfield County Bank App.that night, I became aware of the problem. The next morning I went to the bank on Danbury Road to try and fix the situation.  The Assistant Branch Manager, Diana Kessler, met with me in her office and was able to completely fix everything that had happened. She knew exactly what to do. I went home feeling so much better than when I arrived! Thanks, Diana. I highly recommend Ridgefield Bank!",5
04/12/2023 14:00:15,colleen vick,Diana  the manager was a tremendous help to me . Very patient. Had to send a wire transfer to Germany neither of us spoke German! Got it accomplished!,5
