datetime,author_title,review_text,review_rating
02/02/2023 18:30:47,Lindsay Greene,"We've had nothing but great experiences with Fairfield County Bank in general, but since moving to the Danbury area and making this branch ""our branch"" we've been consistently impressed with their attentiveness and willingness to help with any issue, big or small. From taking up their time to discuss hypothetical loan options on a Saturday with two kids in tow, to small issues within our various accounts that they were quick to fix for us, they are always so patient and eager to help. Most recently, they caught (before we did) an issue with fraud in one of our accounts and worked hard to protect us and keep us safe going forward. As a chronic worrier, I feel so safe knowing they're watching out for us.",5
01/13/2023 17:30:48,Paulo Azevedo,"Would like to congratulate the wonderful crew at Fairfield County Bank.
I really feel like I’m in a private banking experience cause the kind of personal attention I always receive not only in branch but also over the phone.
I specially like the federal road  branch and it’s bankers. They always makes me feel very comfortable in any type of financial peculiarities.
Special thanks to Cara, Johanna, Ashly  and the whole team at Federal Rd branch, you guys are the best!
Look forward to keep banking with you!",5
02/24/2022 13:50:43,Kimmy Bernal,"The staff here is extremely friendly. I always have an excellent experience dealing with Johanna, the teller in the drive-through. Always has a smile on her face and in a good mood even if I’m not lol. The teller Trevor is also very pleasant and always smiling which is a refreshing change. I would recommend this bank to anybody with financial needs because they will go above and beyond to help you",5
10/29/2022 15:45:59,Kristi Petersen Schoonover,"I have had an account with them since 1995 (when they were Ridgefield Bank). I am consistently pleased with the friendliness and service, and also, although over all this time I've only had one issue with my bank account, they spent time with me to get it solved. There are also some nice perks--like using the coin machine at no charge if you have an account. Honestly, I could never imagine going to another bank. Also, Johanna is the sweetest person. I look forward to visiting her every time I go.",5
12/13/2023 20:17:11,Peter Inslee,Great service as always from Danbury Branch Manager Cara Nunes!!,5
01/20/2022 18:56:46,Wynstine Williams,Great service from Stephanie! I was able to get in and out and the transaction was very smooth it was a pleasure working with her and Fairfield county bank in general I’ve always appreciated and welcomed  their friendliness courteousness  as well as professionalism.,5
02/19/2022 15:59:22,Kristin Mucchetti,"We have been customers of Fairfield County Bank for at least 15 years, and we’ve always had great experiences with them. I just had to stop by the branch on Federal Road to get a certified bank check for a home purchase, and the staff that I dealt with were wonderful. I would highly recommend them to anyone looking for banking services.",5
09/22/2022 13:16:38,Tino Candullo,"Cara, Shannon & Johanna are top notch employees.  They are always so welcoming & very professional. No job is too big or small, no matter the time of day!",5
06/08/2022 17:08:11,Luke Ferriby,"Best bank location in the Fairfield County. Vincent, Johanna, Stephanie and Ashly are so kind. I always leave this place with a smile on my face. Would recommend this bank in a heart beat",5
05/03/2022 02:15:02,JoAnn Simon,"I have been a client of FCB for 25 years. I moved from Weston 5 years ago and moved to Danbury. Going to the Danbury branch since Steph has been there is aways a pleasurable experience. She always greets you with a smile, and makes sure whatever I need is taken care of.",5
