datetime,author_title,review_text,review_rating
06/20/2023 19:48:39,Michele Daunis,A bank that doesn't cash their own checks. The bank manager Carol Johnson is EXTREMELY rude and unprofessional.  I will never use this bank for my personal accounts.  Can you imagine an estate check drawn from fair field county bank that they refuse to cash? I can't.  Very poor customer service.,1
03/01/2022 18:45:26,fernanda araujo,"I recently changed my bank to Fairfield County  (Wilton) and I am so impressed ! If you are looking for a 5 star bank , this is the one ! Tina the Service operator Manager and Svitlana from Customer Service Representative go beyond anyone expectations ! They are extremely competent, professional and kind !",5
02/18/2022 02:10:01,Ken Zik,"Thank you Svitlana (Wilton Office) for the quick response. I used to work for Fairfield County Bank, and I love the fact they still maintain a high level of customer service. I highly recommend this bank to anyone.",5
02/08/2022 20:13:29,Andy Pforzheimer,"Everyone at the Wilton branch is helpful and friendly, but it's the manager, Tina, who really makes customers feel special.  The essence of a great neighborhood bank branch.",5
02/19/2022 14:26:22,Beth Hodge,Fairfield County Bank has an amazing app. The team at the wilton office is great. Tina and Yonatan are both great.  Makes my life easier when banking.,5
03/16/2021 01:57:36,nancy gamer,"Always love stopping in at the Wilton and Chestnut Hill branches. Jahanara is always ready to assist with a correction, along with Barbara. They all put up with my dumb jokes. Convenient locations.
Lynn Byington is tops in assisting with complicated banking matters. Have been with the bank over 30 years. Thank you to everyone !!",5
03/16/2021 20:26:30,David Etzbach,The entire team at Fairfield County Bank has continued to step up and support the community throughout COVID. My interactions with Jahanara at the Wilton branch and Tanya in the home office have exceeded expectations.,5
08/25/2020 16:14:11,Elaine Simons,"I spoke with Tina Cika, she was so patient and understanding as she explained to me the process of printing a copy of a check.  She also helped me to negotiate a little of the banking system so I can feel confident in doing my On Line Banking.",5
02/28/2021 02:33:33,Ejona Mekolli,I am satisfied with the customer service that I received from Tina Cika at the Wilton office. She has assisted me with the Zelle service by firstly introducing me to the application and afterwards walking me through the whole process step by step.,5
02/03/2022 15:44:57,S.S.,I usually bank in Stamford but I was in the area and needed to make a withdrawal. Jonathan was very helpful and funny!,5
03/24/2021 20:24:11,L1 Goalkeeper,"Love coming to see these guys. Tina goes above and beyond, and all the staff are so helpful and friendly. I always come away with a piece of candy when visiting also!",5
03/09/2021 18:51:17,Ari Rosenberg,"Fairfield County Bank is extremely professional.  They also go above and beyond to support nonprofit organizations like the Association of Religious Communities through their Charity of the Month.  With their generous donation this year, ARC was able to provide food provisions though our Comida Food Pantry, for long lines of people struggling through the hard times of the Covid-19 pandemic.  Thank you Fairfield County Bank!",5
03/10/2021 18:18:24,Java Ahamed,"I called the Wilton branch and there’s a really nice teller named Jana I think,  she answered all my questions very politely! Overall a good experience!",5
02/28/2021 15:44:58,Malbor Mekolli,"Always a wonderful experience at the Wilton branch. Never disappointed with the customer service, especially given from Tina Cika.",5
11/30/2021 16:51:15,Ayla (Ayla),I go here for my job and the workers are always friendly and helpful. It's always nice to see their smiling faces!,5
03/02/2022 19:21:20,Makayla Meier,Johnathan is always very friendly and greets me with a smile on his face.,5
07/22/2021 21:31:21,Stephen Fogerty,Best bank in Connecticut. Focused on customer service.,5
03/11/2022 13:11:59,Brian Andronaco,The staff could not be more helpful very very pleasant and eager to help,5
04/21/2021 00:31:12,Sue Hilder,Very nice! Great customer service,5
03/18/2021 16:17:57,Alex Edwards,,5
03/24/2021 18:04:50,John Lynch,,5
04/02/2021 12:21:42,Jahanara Moktar,,5
03/04/2021 16:39:32,Rich Frostig,,4
05/06/2022 16:32:46,Melissa Lang,,5
