datetime,author_title,review_text,review_rating
12/21/2023 13:40:37,Lynda F,As a family we’ve been banking with FCB for decades. They’ve always been professional and extra helpful when addressing specific banking needs. If you’re looking for a great local bank with great customer support we highly recommend them.,5
02/26/2024 16:51:12,Brian F,Yamina was amazing and went above a beyond to be helpful. Thank you to the team at FFLD country bank and Yamina in particular.,5
02/17/2024 16:29:40,sunil patel,"Yamina and Johanna are best of best.
If your looking for great customer service, 121 New Canaan Ave is the best",5
10/26/2023 19:49:25,George Genuario,I met with Yamina Berrabeh-Mayen at Fairfield County Bank on New Cannan Ave. She was very helpful and met my needs perfectly. I have to meet with her tomorrow and looking forward to it. Thanks Fairfield County Bank. 👍🏻😁👍🏻,5
03/11/2024 15:14:28,Dana Murray,"Been a customer here since a young child! Everyone always helpful, recently had a check fraud experience that they helped with, making a bad problem more tolerable.",5
06/29/2023 16:42:36,Breanne Shipman,"Yamina Berrabeh-Mayen took the time this past week to help me set up a new debit card and assist me with the wallet application on my iphone and watch. She acted in a very friendly and professional manner. As far as I am concerned, I would recommend her for anyone needing help. That being said, all of the employees at Fairfield County Bank are extremely helpful and friendly. My family has been doing business with this bank for many years and we have greatly appreciated the professional, courteous, and prompt responses to our personal needs.",5
01/11/2024 17:04:17,Jeremy Rubino,Yamina was a great help and has been a wonderful assets to the branch.,5
11/28/2023 12:17:35,Valiante Builders,Fantastic customer service.  Very attentive and quick to respond.  The way a banking experience should be at all banks!,5
05/20/2023 10:28:02,Jonathon Salvato,"In the 3 years I’ve been using Fairfield county bank I have had nothing but a horrible experience.  Their customer service is atrocious. The absolute worst bank to use if you own a small business by far.  All they do is look for any way possible to charge you their ridiculous fees over and over. As a small business, just me, it takes time to get invoices submitted to customers as I’m out working every day than need to do the billing myself.  The amount of fees I’ve paid in the three years is insane not to mention they love those $10 daily negative balance charges while checks are processing for payment.  They don’t even have the curtesy to answer emails.  I sent a email to the manager of New Canaan Ave branch, Isaac Walcott, to never hear back plus a follow up asking about it to no response.  I would never recommend this bank to anyone, especially if you run a small business",1
03/17/2022 20:19:40,First Step,We have been doing our banking with Fairfield County Bank for over 10 years. All the employees are so friendly especially at the New Canaan branch. The customer service at this branch is exceptional. Yamina has helped me several times. She is very knowledgeable and kind. You won’t go wrong with Fairfield County Bank.,5
01/03/2024 15:46:49,Jason Marcucilli,This is my favorite Fairfield County Bank branch. They are always helpful and very efficient.,5
