datetime,author_title,review_text,review_rating
11/13/2023 23:25:08,Georgette Kapetaneas,"Virginia Turnbull at Fairfield County Bank, for not the first time, came through on a commercial loan in a ridiculous time constraint.  Something that easily could’ve taken months at other banks, was completed in a matter of weeks, with the least amount of hassle possible.  Her professionalism, experience, and quick correspondence were key factors in simplifying what easily could’ve been a complicated situation in other hands. Thank you FCB!",5
04/04/2023 16:10:31,Worldwide Diagnostics Information,Had an issue with a forged check issue at two banks.  Yamina at Fairfield County Bank handled in person.  She put me at ease and it was resolved in a day.  The other bank told me to call a number and work and handle it on my own.   Fairfield County Bank again proved the benefits of using a local bank.,5
04/18/2023 15:19:09,Teen Awareness Group TAG,The Teen Awareness Group has banked with Fairfield County Bank since we incorporated it into a 501C3 in 2013. They have been very supportive and helpful to our youth-run nonprofit. Shout out to Yamina for her assistance and attention to detail!,5
03/15/2023 01:43:02,Bruce Becker,Yamina was a delight to work with - extremely professional and patient with me today when I had an urgent wire to send out.  I highly recommend her (and the entire staff at FCB) to anyone that needs a thoughtful and responsive banker.,5
09/23/2023 14:22:43,Andrew Romeo,I was at the Westport office and Tina Cika helped with my account. Great experience. Love gouinggoing to this office because they know me very well.,5
07/22/2022 17:12:33,Law offices of Peter Lathouris,"Great bank and officers.  Our office has been dealing with Fairfield County Bank for many years on behalf of clients and as clients ourselves.   We've had the pleasure of dealing with the team of Glen L, Paul L and Janet W, who are extremely knowledgeable and familiar with the banking needs of individuals and small companies.  We highly recommend them.  Reach out to them for your next banking need and you too will be impressed with their knowledge, accommodation and responsiveness.
PVL--Principal, Law Offices Peter V. Lathouris, LLC",5
02/12/2022 10:57:09,Prime Painting,"I have been a client of Fairfield County Bank for the past 5 plus years and I am very happy.
I would highly recommend them to anyone in the market looking for a new bank.
They are always very helpful and pleasant each time I visit and take that extra step to make sure all of my needs are met.
It is a real pleasure banking with Fairfield County Bank and I highly recommend them.
Jeff C.
Prime Painting",5
08/18/2021 16:55:59,Lisa Chirillo,"Partnering with Debbie Przewlocki at Fairfield County Bank is as close as you can get to being treated like family. She goes out of her way for our crew at Viking Construction, and might I add, always with a smile and positive attitude. Thank you Debbie for all that you do for us and for simply being you! You are the best!",5
02/23/2021 12:23:29,Bertram McDowell,"Fairfield County Bank in Bridgeport has nothing but incredible people. They welcome you in.  They remember your name, unlike some of those other banks where you’re just another customer.  Janina is an outstanding teller.  She is always quick to greet you and assist you with things you may need.  I was referred to Fairfield County Bank in Bridgeport by a friend of mine and I am glad that I listened!",5
05/11/2020 13:30:58,Symone Lewin,"Virginia Turnbull at Fairfield County Bank worked tirelessly to not only secure funds for us, but to kindly and thoroughly guide us through a challenging process. We could not be more impressed with her. We are so appreciative and grateful that, especially at a stressful time, she was confident, knowledgeable, and calming throughout our experience.",5
07/24/2022 01:26:39,Tom Yerinides,Great bank to get personal service!!! None of the other larger banks would meet our financial needs as well as FFCB! I have two businesses and they have come through for me; I have all of my accounts at FFCB...would highly recommend them for any personal or business banking needs!,5
05/21/2021 15:06:38,Karen Rohrer Brown,"My employer and I worked with Deborah Przewlocki in opening a business CD electronically.  Debbie was fabulous to work with!  She was professional, friendly, and extremely knowledgeable.  Thankfully, she kindly followed-up with us and kept us on task!  When Debbie said she was going to do something; she did it and did it timely.  Thank you for all your efforts, Debbie!",5
03/28/2023 20:48:39,Erin Reilly,Yamina was so helpful and patient with me! I'm new to this bank and was unsure about leaving my previous bank & I feel so comfortable and happy with my decision now! :) Thanks Yamina!,5
07/21/2022 19:51:35,Michael McNulty,"Virginia Turnball, Amanda DiGrandi, Mary Scanlon and the rest of the FCB banking relationship team are great.  Very responsive and committed to getting customers the financing and service they need.",5
05/07/2020 21:01:01,George Bresnan,"We have just found Fairfield County Bank and can not believe we wasted so many years settling with the ""BIG"" commercial banks. During a time when we needed them the most Fairfield County Bank has supported and guided our business like only a Local Community Bank can do. The personal and professional treatment we have recieved from Virginia Turnbull and Vincent Perry has gone above and beyond our expectations. We would recommend that any business big or small use Fairfield for an exceptional experience like no other.",5
08/17/2021 18:49:48,Viking Construction,"Viking construction sends a shout outs and applause to Fairfield County Bank, especially Debbie in the Westport location. We value the time she takes to look out our best interests, and we are very happy to have her in our corner.",5
07/21/2022 18:37:03,Ross Cumming,We recently closed a commercial loan with Virginia & Mary during a turbulent time in the market. They successfully navigated the challenging environment and closed on schedule and within the set of terms we had agreed to. Can't speak highly enough about their efforts and look forward to the next one!,5
04/29/2021 13:49:48,Nancy Curcio,"Great staff at Fairfield County Bank, Westport Branch! They are very helpful, efficient and very friendly.  I just had an experience that required research on their part.  They went above and beyond to help solve my problem. I am so grateful.  Thanks again to all..... you are the best!",5
05/02/2023 17:22:02,ROBERT CROWLEY,Yamina is always very helpful and cheerful. She is an asset to this bank and I enjoy banking at FCB.,5
04/14/2020 12:56:48,Greg Pepin,"Virginia Turnbull was absolutely amazing and beyond helpful in the PPP process with a mutual client. Her dedication and literal around the clock commitment to helping her customers through this unprecedented time and opportunity was a stand out for me, and should most definitely be commended!",5
02/25/2021 16:39:43,Robert Burke,This is a great branch!  I live in Ridgefield and have banked there for 30 years but the Westport branch gives me the same bespoke services that my usual Ridgefield branch  gives me  - a hometown bank with a big bank breadth of services.  they seem to know all of their customers and move personnel around so i always seem to see a familiar face.,5
03/25/2021 15:27:06,OC OConnell,"Just finished a very successful transaction with the bank. Debbie P, and the entire team at FCB were extremely helpful throughout the process.
I highly recommend using FCB for your all your banking needs!",5
12/09/2022 16:01:59,Jane Baus,Brian Kelly branch manager was a breath of fresh air! We have two accounts there and we love it !,5
11/08/2023 17:09:31,Whiskey13sweats,Thank you Melissa goez for all of your help each time I visit.,5
12/15/2020 22:14:09,Fred ONeill,The staff at the Post Road and Compo Beach branch in Westport are great.  They are always smiling and upbeat.  They make going into that branch a pleasure!!,5
