datetime,author_title,review_text,review_rating
10/31/2023 23:33:40,Julia Lihv,"It was a wonderful experience at Fairfield County Bank in Fairfield, Tunxis Hill. Maria and Patty were very helpful and well experienced, and knew exactly what I needed help with. They were very kind and generous, overall I definitely recommend coming to this branch. Thank you again Fairfield County!",5
12/27/2023 21:46:54,Hitesh Patel,"I've been banking with Fairfield County Bank for many years and wouldn't think of banking anywhere else. Highest levels of customer service you can find from all the tellers.
Highly recommend FCB.",5
09/22/2023 15:14:31,L Mia,"I recently had the pleasure of interacting with one of the bank employee Maria Olivieri and I must say the service i received was truly exceptional. From the moment i walked in, I was greeted with warm smile and genuine eagerness to assist me.
she went above and beyond to ensure that my banking needs were met, the patiently listened to my inquiries provided clear explanations and guided me through the entire process with professionalism and expertise. Thank you for going above and beyond Maria...",5
10/31/2023 15:20:02,Jeffrey Stone,Tellers are awesome; always willing to help out with great service. Greeted by tellers and manager every time I walk in. Answers any and all questions I may have! Highly recommended to all.,5
02/06/2024 17:15:46,Eric Moutinho,"Always a pleasant banking experience.Patty , Anna and the rest of the staff are always welcoming and attentive to your banking needs.",5
08/31/2023 17:35:54,Jill Simons-Salerno,"I was having a problem that no other bank would help me with. Patti, the branch manager at the Tunxis Hill location, was the only person who went above and beyond to help me. I have banked with Fairfield County Bank for close to 16 years, and have always had a great experience.",5
04/03/2023 14:42:58,Anthony Vida Sr.,I've been a customer since 2012 the ladies at Tunxis hill are outstanding. Patti & Maria  go above and beyond the tellers Nilsa Ana Jana are awesome friendly and always greeted by my name. The girls do an amazing job,5
05/16/2023 17:13:13,Adam Lucianos,"Love Fairfield bank customer service, always pleasant, clean, friendly, professional environment always very sweet to my children when they come in with me.",5
11/02/2023 13:10:27,Carrie Genovese,I’ve been a customer for many years. The service is always friendly and personal. I appreciate having the human connection.,5
05/10/2023 16:36:09,Tejas Patel,"I have been banking with Fairfield County Bank for last 16-17 years and specially at Tunxis Hill Branch. All the tellers and managers who have worked in the past were always Courteous and friendly. And The Current staff, The Branch Manager, The Assitant manager, The Staff Supervisor and all the tellers are simply amazing, very professional. Their customer service is outstanding. They are always so welcoming and always smiling. Can you beileve Banking for last 16-17 years without any bad experience from the branch which says lots of good things about this particular branch. They are always very helpfull to me and my family because mywhole family banks at this branch and they all love the staff and their profrssionalism. This is why I have been banking at this branch of Fairfield County Bank. Everyone at the bank are simply amazing. Thank you for all your great service throughout this time and I appreciate it.
Positive Vibes.",5
11/06/2023 15:07:09,Tony Vida,"The staff at the tunxis hill branch are amazing polite great customer service, starting from the tellers staff to the branch manager's.",5
03/31/2023 13:06:12,Stephanie,"As a customer at tunxis fairfield County Bank, where I do all my transactions from deposit check cashing and withdrawals, I've noticed  lately that when I receive my money, it is given to me very disorganize and never faced in the proper direction.. now, as a prior teller, without a doubt, money should be faced in one direction. I believe it's not too much to ask to have the money corrected before handing it to the customer. I've never experienced this at this location. The ladies are great, no complaints there, just hand me my funds correctly. Thank you. See you on my next visit !",3
09/21/2023 20:00:00,EX Hale,This bank is great and has great employees that help anytime I need help with banking or have bank issues and questions. Staff is amazing,5
02/08/2024 15:04:01,SYLVESTER JONES,"Patti, Maria, Jana, Nissan, Ana, Shawn great experience, wonderful staff",5
04/17/2022 02:54:25,Katherine Fitzpatrick,"Fairfield County Bank, Tunxis Hill, has been a wonderful financial institution for me! The entire team is warm, attentive, and professional. Patti Connelly, Branch Manager and Vice President, is exceptional making sure I understand all my options and feel comfortable asking questions. My banking transactions always run smoothly. I highly recommend this awesome bank!",5
11/01/2023 17:55:12,Danny Leavitt,All the employees that work at Fairfield county Bank always treat me like I'm the only customer and I always feel like that's the greatest they are the greatest?,5
08/10/2023 19:46:40,Sean O'Leary,"Tunxis hill employees are extremely helpful to any situation from Patricia , Maria and the ladies at teller line Ana,Nilsa and Jahanara.",5
10/31/2023 18:45:44,Bhumika Patel,They are so sweet and lovely. They give us wonderful services,5
02/16/2023 14:34:43,Monica Davila,"Best bank around all the staff is so friendly Jana, Nilsa and Ana are always such a big help. Patti and Maria and everyone here is so friendly, and create a great banking experience.",5
06/02/2023 14:42:48,Rose Blaise,"I had the pleasure of working with nilsa today who informed me of of multiple community outreach the bank is offering this week. I am a new client to FCB and I am please to find that this location especially is Very community friendly,  has fast and efficient service.",5
02/10/2024 15:26:29,Mike D,"Always very friendly and helpful.
Mike D",5
01/14/2023 15:31:40,Paige Thomas-Leavitt,Tunxis Hill Branch was GREAT!  Nilsa(CPT) and Maria the Branch Manager helped me to open Online Banking and I received my first Debit Card!!  The Tunxis Hill Branch  ALWAYS goes above and beyond to help their banking customers!!!!,5
02/11/2022 20:31:48,paul Keating,"The people at Fairfield County Bank are definitely a cut above my banking experiences in the past! Especially Maria and Patti at the Fairfield Tunxis branch. They have taken great care of me and gone above and beyond on many occasions! Cannot recommend this bank enough!
Paul J Keating, DMD",5
05/12/2022 15:48:23,Mike B,I always receive excellent service from everyone at the Tunxis Hill Rd branch. Patty and Maria are fabulous and always so accommodating.  Every teller goes beyond to make you feel special. Thank you,5
09/18/2021 14:30:27,elin cohen,"I cannot say enough great things about everyone I have dealt with at Fairfield County Bank!  Odette was incredibly knowledgeable and available to help with PPP during Covid.  Lisa and Patty have helped us so much with our accounts deposits- being available and going above and beyond to help us.   When I  had questions about on-line banking even on a weekend, Carlos was available and so helpful and kind.  I truly appreciate every individual I have worked with at Fairfield County Bank.  It really feels like they care about us as people and as a business.  I would recommend them to anyone!",5
01/30/2021 03:39:24,Char-char Nix,"We have been personal & business customers of the Fairfield branch right from the start. Simply put...Fairfield County Bank is the best for  personal service. Most banks offer the same services. But when you do business with Fairfield County, you feel special and well taken care of. We have six accounts ranging from our daughters’ savings to personal checking to business checking. The staff will know you. Patti & Maria will be there to help with any & all your banking needs. Stephanie, Jeff & Kalid are always pleasant & helpful. It is a pleasure to bank where your business is appreciated, rather than going unnoticed as just one of many customers at a larger bank. We highly recommend stopping by the branch to meet everyone & decide for yourself.",5
05/06/2021 18:38:26,Richard Scinto,"I've been a customer of FCB for 16 years now and they've always treated me like family... a friendly community bank.
It feels so nice when you walk in and everyone knows your name.  Between the Bridgeport and Fairfield branches, Patti, Veronica, and Paola have always taken great care of me.",5
08/16/2023 13:48:30,Rabbi Shlame Landa,I highly recommend Fairfield County Bank. Patti and Maria are awesome and the tellers are so nice and friendly. Couldn’t be happier.,5
02/12/2021 15:53:05,Luna Morreale,"What a great experience at Fairfield County Bank over Tuxis hill in Fairfield, I’m not a customer however I’m looking to change Bank 🏦 I went to the drive through the young lady explain why the lobby was close.
I feel really bad for them must be extremely Exhausting not having contact with people I do feel for them. Anyway I got good information plus they provide me with business card for manager and the assistant to make an appointment!",5
