datetime,author_title,review_text,review_rating
03/31/2023 18:01:13,Kim Carter,"We cannot say enough positive things about our customer experience with Sheila and First County Bank.  For the 8 years we have been working with them, Sheila has been welcoming, professional and available to assist us every time we walk through the door or call.  They care about their community and are sincerely interested in our agency and finding the best solution for our needs.  I highly recommend First County Bank, Sheila, and her Main Avenue team!
Kim Carter, Development Officer
Keystone House, Inc.",5
03/17/2023 02:10:29,Evelyne Waldemar,"I called the branch to get information on HELC loan and Sheila took her time to explain the whole process and educated me about the product  . She helped me in the past with different products and is very knowledgeable and transparent.
I would recommend her for any lending , insurance and banking needs .",5
03/22/2023 21:07:21,Jennifer Beltran,"I stopped in at the Main Ave location recently , since I was thinking of opening an account and Sheila the branch manager was super helpful with giving me all the information I needed. Sheila is amazing , she is super welcoming. Thank you Sheila!",5
05/06/2022 18:02:02,Louis Guarnieri,"I have been a customer at this bank/branch since it’s opening 18 years ago.  Diego is always very helpful in my daily banking.  Recently I added an account and had to make adjustments to others.  Sheila, the branch manager was indispensable in answering many questions, resolving concerns and getting all new and existing accounts in proper order.",5
03/08/2023 18:35:11,Natasha Weglarz,"The team at the Main Avenue branch are all great. Sheila, the branch manager is an absolute gem! She is affable, professional and always provides impeccable service whenever I visit or call the branch.",5
04/05/2022 17:55:18,Maralyne Zuniga,"Beyond satisfied! Came in for the first time to open an account a gentlemen by the name of Diego was beyond helpful, patient, and friendly! Made the process so easy and made sure I knew my options and what would be good for me. An excellent job and amazing customer service !",5
06/18/2021 13:05:00,gina royal,"This is one the best banks I have banked with. You can truly tell that they care for their customers needs. One associate specifically that made my experience with this bank great ,was Sheila. She truly listened to my concerns and wants and helped me get exactly what I needed. Would 10/10 recommend this bank to anyone .",5
05/12/2022 19:19:04,Chris Frederick,"Where do I start? At first I had nothing good to say about this bank, I traveled to Connecticut this past weekend the D.C. area to be placed on an account of a close relative. Mine you I took train up and back just to handle this important affair for my relative. Today after receiving an email from the bank, I attempted to setup the online banking but was unable to do so. After contacting customer service I was meet, rudeness, someone not listening to what I said and just some of the worst customer service I have ever experienced.  After asking to speak with the representatives supervisor I was transferred to Sheila at the Norwalk branch.  I have nothing but kind words for her, she took the time to listen to my concerns and the issues that I was having setting up the online account. This type of customer service is lacking in today's society, Shelia called me back within 3 mins and stayed on the phone with me until I was able to sign in. She then took the time to explain to me how to access the pay my bills and apologized for the rudeness I had experienced. I thanked her for her assistance and felt the need to let First County Bank know what a Great employee they have in Sheila. If I lived in the area they would be gaining a  new customer and  because of her it is the only reason I have not asked my relative to consider changing to different financial institution.",4
04/11/2022 15:40:43,sandy teixeira,Great experience with the branch manager Sheila! She was very knowledgeable and able to answer all the questions we had! Looking forward to our future business together.,5
04/07/2022 15:55:43,Renee Joseph,I love FCB.  Sheila Content is always polite and always has a smile to brighten my day.  The other bankers are friendly as well and willing to help.,5
