datetime,author_title,review_text,review_rating
10/12/2023 20:20:39,Keval Kapadia,"I had an exceptional experience with this bank, and I can't speak highly enough about their customer service. In particular, Cassie went above and beyond to assist me. She was incredibly knowledgeable, patient, and friendly. The level of service I received was outstanding. I truly appreciate their dedication to helping customers. I highly recommend this bank to anyone seeking a welcoming and supportive banking experience!",5
02/27/2024 23:27:53,James Linden,I just want to rave about the personalized service provided by Miriam Njie at your Westport Branch. She was incredibly helpful and thorough in assisting me with a maturing Certificate of Deposit and then she held the check at the Branch for me to pick it up. Miriam has made me a super fan of First County Bank!!,5
10/19/2023 20:41:26,Guy Gray,"I always have a great experience at First County. Everyone is friendly, they let me know about new products and improved rates, and help with any banking issues I may have in a very thorough manner. I have been banking with First County for more than 35 years!m and have never been disappointed!",5
02/09/2024 12:31:19,Donna Carlucci,"Prompt, efficient customer service with a smile. An overall great experience. Thank you!",5
10/31/2023 15:56:52,Ted Huber,The team at 1135 Post Road are the absolute best.  So helpful and knowledgeable.  Thank you for the great banking service.,5
10/14/2023 15:23:35,Kaitlyn Maloney,Staff is always so friendly and helpful! I had Mariam helping me today and she was excellent :),5
05/14/2023 05:22:59,Ruchi Sharma,"Customer service is the best experience for me at First County Bank. Mariam is very knowledgeable & excellent in her job, she made banking so convenient & easy. I love to reach out to her regarding any financial services. Thank You Mariam!",5
10/31/2023 15:22:06,Mark Holod,Miriam is great. Always makes me feel like family.,5
10/12/2023 17:28:56,David Lopiano,Cassandra is always cheerful and happy to see Angel and I at the drive up window,5
10/29/2023 23:35:45,Dave Smith,Everyone is always helpful and pleasant when I visit first county bank,5
04/04/2023 20:20:42,Keara Berisso,"If I could give more than 5 stars, I most definitely would. At the law firm where I'm a legal assistant, I work closely with this branch of First County Bank. If I need copies of bank statements for clients or if I call about a random account inquiry, they are always willing to help me, even if it means taking extra time to assist. I appreciate everyone who helps me from this branch and it always brightens my day just to speak with them, have it be through email or phone call. If you are looking for a company to bank with and even specifically, a branch to visit when you need assistance, First County Bank in Westport is the place to be!",5
05/10/2023 20:12:59,brendan gately,Very polite and Wendy and Cassie were outstanding in their customer service with helpful communication and understanding advice that helps you build up a successful and secure account,5
05/04/2023 15:58:48,Suthee Suvansri,Wendy from the Westport office has been great to work with as we transfer our banking relationship.  The personal touch is truly appreciated and know we have partner to support our association.,5
03/20/2023 14:06:40,Joe Mcintyre,All the ladies ar the branch were super helpful with my father and I. We Highly recommend this branch to all customers it is worth any extra time we come form norwalk to see them.  Thanks again,5
