datetime,author_title,review_text,review_rating
03/31/2023 20:34:13,Melissa Dube,I love my bank.  Camilo and all of the staff at First County Bank on Summer Street have always been extremely helpful to myself and my family.  They all go above and beyond to provide me with the services I need in a timely manner.  They are the best team! Thank you.  Keep up the great work!,5
03/28/2023 14:04:48,Sammy,"I can’t say enough great things about First County Bank, and this branch in particular. Wonderful staff, good rates, and friendly, fast service. I’ve had both my personal and business accounts here for many years and couldn’t be happier, and in these times, more confident in the strength of FCB. Thanks for all your great work!",5
03/31/2023 23:46:02,Maria Saumell,I can’t say enough about First County Bank on Summer Street.  Camilo is by far the best and most helpful person.  He and all of the staff make you feel like family no matter what I am need of at the time.  He was exceptional specifically in 2020 when I was hospitalized with Covid.  My family needed his help and he did everything possible to get them on track. Thank you for all the years of outstanding service!,5
03/25/2023 13:47:28,Rashmi Patel,"The summer Street team is amazing! I have been with this branch for over 12 years and I'm always taken care of. I have always been able to call, process deposits and withdrawals without issues. They are literally always available to assist even in an emergency. A special thanks to Taishari Blanco and Kathy Valentine.

Thank you to all.",5
04/12/2022 03:18:57,Elie Hanna,"I honestly can’t say enough about my all-time favorite bank! I opened my first account at First County in 1991 when I was just a kid and I’ve been a customer ever since. now with over a dozen accounts this is the place where I trust to have my money and all my business accounts…  The staff at Summer Street is  just unbelievably helpful and they make you feel like family every time you come in. I’ve sent everyone I know to these guys and they’ve taken care of them in the best way imaginable. A true pleasure to do business with these guys, I highly recommend anyone who has any banking needs to go see them and I guarantee you’ll be thrilled that you did!!!",5
03/28/2023 15:29:23,Denise Doonan,"We go to the Summer Street, Stamford, CT and want to express how professional and how amazing the team is. From customer service to knowledge of the markets and your own custom banking/financing needs they go above and beyond. Kathy, Joshua, Tai, Camillo, Bal, Alan are an amazing team!! Perfect for all of your personal, business and mortgage needs!!",5
04/22/2022 22:38:33,Linda Alvarado (lovelylinda),"Going into first county bank on summer st is really a pleasure when you are dealing with such attentive staff, not only are they super helpful and friendly, but they also treat you like family.
Shaun , Kathy, Camilo, Tai and Joshua are always very welcoming and always answer any questions I have. They are all very knowledgeable and I can tell they enjoy working with all of the customers.",5
07/28/2023 18:31:10,Dibette Quito,Branch manager was horrible. Called to speak to him at 9 am didnt hear back until 2 pm. His excuse was he had customers and when I informed him I was a customer myself he didn’t seem to care. I had to push my closing date because there was no communication.  It’s 2023 and you can’t do a simple wire transfer from your phone.,1
03/30/2023 17:52:18,mohammed tayab,"Kathy Valentine, Tai Blanco, Joshua Seput, Alan and Kim are all so helpful with great customer service and ready to assist with any banking news. Happy to Bank here!",5
03/29/2023 16:52:54,Alex Martinez,"Greatest Most Responsive Bank Team Ever. Been my Business and and Personal Bank For over forty years. Camilo, Taishari, Kathy, Josh, Val, and Alan",5
