datetime,author_title,review_text,review_rating
12/10/2023 01:07:38,A Gordon,"When moved to Greenwich and asked for the best local bank, First County Bank was the one everyone recommended.  For over three years now we still bank here and recommend FCB to others.  The staff Jeff, Laura, Michelle, Pam and Ping are top notch professionals and provide the best customer service.",5
12/06/2023 20:36:19,Jake Secker,"I had a very pleasant experience with First County Bank. Specifically, Michelle Carey was extremely helpful and insightful and was able to accomplish, quite efficiently, what I have set out to do for over a year now. I highly recommend and plan on continuing my business with them.",5
11/06/2023 19:38:45,Lisa Grant,"I love banking at First County.  The level of customer service and friendliness makes me feel like I have five personal bankers-Michelle, Pam, Laura, Ping and Jeff are helpful, knowledgeable and always go the extra mile.",5
10/16/2023 13:26:39,Joann726,"Always a pleasant experience at this branch- been coming here for many many years- decades.  Pamela, Laura, and Michelle always make my time a happy one and very easy.  Friendly, respectful and helpful.",5
10/18/2023 14:42:41,John Bastura,Truly my favorite branch Jeff Michell Pam And Laura. Make me feel like family  Always a pleasure to bank there.  There customer service is really great.    John Bastura,5
12/05/2023 22:34:47,Piero Pirri,"This bank First County by far is the best bank out there.
With staff including Laura, Pam ,Michel,Jeff and Ping the are absolutely fantastic they customer service is outstanding!!",5
11/29/2023 19:50:01,Jose Astacio,"Absolutely wonderful service!
When you’re about to do a few transactions that need to follow a certain protocol, you will appreciate the terrific service given by Laura, Pam, Michelle, Jeff and Ping.  Luv these guys!",5
11/27/2023 21:23:27,Susan Marcus,"Michelle and Laura are very helpful. They addressed my concerns when I had a check stolen, followed up promptly and were lovely to work with!  Thank you",5
10/28/2023 13:35:05,Maria Palacio,"Excellent Customer Service. Laura is amazing and helped me so much with setting up account for my daughter.
All the ladies are friendly and super helpful. Michelle, Pam, Ping and Laura! Love it!",5
11/20/2023 14:19:41,Roberta Tunick,"I couldn’t manage my accounts without the efficient and knowledgeable and kind help of Laura, Michelle, Pam and Ping. I have personal and business accounts here and wouldn’t use any other bank for my financial affairs.",5
12/15/2023 18:53:43,Edras,"This branch is the most amazing one in Greenwich.
Professionalism, kindness and respect.
Michelle,
Laura,
Pamela,
They are extremely amazing.",5
10/16/2023 18:44:07,Nicole Lombardo,"It’s always such a great experience regarding my banking transactions. I have interacted with all of the employees at the Greenwich branch and each of them are friendly and efficient. Michelle, Pam, Laura, Ping",5
12/08/2023 02:57:37,Lin Vaccaro,"We love to stop by your branch and very thankful your friendly help every time. Thank you Ping, Laura, and all!! Best wishes and happy holidays ❤️",5
11/14/2023 19:46:24,Maris Vadala,I’m so confident safe friendly and gets good advise in the Greenwich branch from Pam Laura Michelle Ping and even the manager Jeff.  They are all awesome.,5
11/10/2023 02:27:28,Norbert Kerekes,"Thank you Pamela, Michelle, Ping, Laura and Jeff for all your help today and every time. You are a great team and I really appreciate all you do for my family.",5
12/06/2023 22:01:13,Benjamin Tsang,"Michelle and Pam are wonderful, attentive and very helpful always. They treat you like part of the family!",5
11/21/2023 16:29:05,Luisa B,Ping was very helpful when I was trying to transfer money through Zelle. The new tech drove me crazy and thanks for her patient!,5
10/14/2023 19:32:20,Joseph Ruggiero,"The staff at the Greenwich office is always very polite, friendly, knowledgeable and very professional.   It's a pleasure to see the smiling faces",5
12/15/2023 19:23:22,keneil wright,"I went to the bank to disposit a cheque and the customer service and warm welcome I received, felt great. Thanks to Michelle, Pamela and Laura",5
11/08/2023 16:50:38,Leah L,"Best banking services ever! Ping, Laura, Jeff, Pam and Michelle are great!",5
05/12/2023 19:31:17,Manuela Acebo,"The staff at the bank is wonderful. Every person is helpful and looks after the customers best interest. Bruno, Michelle, Pamela, Laura, and Jeff are the best! If you are looking for a bank, stop by First County on Mason St!",5
07/09/2023 12:20:47,Nancy S,"The best bank and employees that work there.
I have been with this bank for 18 years.
I’m not a number, I am a person, greeted by name whether I call or visit.
I moved out of CT 13 years ago and decided against changing to a different bank.
I’m content with the services and reviews at FCB.
Read some reviews of the big banks and you’ll understand why I’m still there.
When you have staffing that stays on their jobs for a longtime, it’s obvious that FCB values their employees too.
A shoutout to the Mason St location.
Thank you Jeff and Laura.",5
04/24/2023 14:36:15,Nancy Borchetta,"The staff at the Greenwich office of First County Bank -Jeff,Laura,Pam,Michelle and Bruno - are responsive, caring and provide superior banking service! As their slogan states “It’s where you belong”, is how they make us feel when in their office.",5
04/12/2023 15:58:56,Dawn Calle,"My favorite First County Branch. Jeff and Laura are always available for questions. Pam, Michelle, and Bruno are always a smiling face in the drive up or at the counter. Love having a local bank with local people to work with.",5
12/20/2023 17:31:06,Fred Klashman,Been banking at FCB/Greenwich for 30 plus years-Michelle/Pam/Ping and of course Jeff and Laura make every visit spesh,5
03/29/2023 18:16:51,Richard Margenot,"First County Bank and ALL staff:

Jeffrey Robinson
Laura Silva
Pamela Magan
Michelle Carey and
Bruno Zarate

Have always and

Continue to deliver first class A#1 highest service and knowledgeable assistance to me and my family in all aspects of banking.

The branch  is staffed with true professionals who help us in lending, opening accounts, taking my referrals , deposits, trusts and more.

I am very happy at First County Bank.

Rick Margenot",5
04/12/2023 17:02:54,Angela Giordano,"The staff is super helpful and very friendly. They are also very knowledgeable re: what to do if you have a problem that needs a quick solution. I have been a customer for many years, since it was the Stamford Savings Bank and will continue to be a customer for many more!",5
03/31/2023 17:21:48,Cassin Maloney,"The help and expertise at First County Bank is always outstanding. In particular, the service Bruno Zarate, Michelle Carey, Pamela Mygan, and Laura Silva provide is always outstanding. They all make every visit to the bank a pleasure!",5
03/29/2023 20:43:18,Dimitri Bulazel,"Best bank experience in town. Knowledgable, courteous, and very helpful. Jeff Robinson and Pamela Magan are excellent. Doing business with my local branch is so much better than dealing with major banks.",5
11/18/2023 18:47:29,Bunny Pep,Such a helpful bank. Thank you Michelle Carey for helping me create my first bank account.,5
04/15/2023 16:12:56,valeria lopez,Bruno has made my experience at this bank very pleasant and welcoming. He is always so helpful and polite. He is overall an outstanding employee! :),5
05/16/2023 15:32:46,Aurelio Moreno,"Many Thanks to all staff at the Greenwich branch are extremely friendly, knowledgeable and provide great service. Bruno Zarate very helpful and knowledgeable to help me with my banking needs.",5
03/27/2023 19:31:52,Jeremy Kaye,"All at the Greenwich branch, Jeff, Laura to Pam, Michelle and Bruno make a trip to the bank a happy occasion.  I appreciate the friendly smile and great service every time I stop in.",5
