datetime,author_title,review_text,review_rating
11/16/2022 13:12:36,Gary Cavallaro,"EXCELLENT BANKING EXPERIENCE AT ION THE BEST KEEP UP THE GOOD WORK
People's Bank is now M&T and is having many problems.
WEBSTER BANK, will not even let you debit your MasterCard...

FOR THE ABOVE REASON IS WHY I CHOSE ION BANK.",5
10/01/2022 13:19:04,HOA,"Great customer service but their drive through takes at least 10 to 15 minutes of sitting in a car, idling. You're better off going inside, it's quicker and will save you some fuel.",4
11/16/2022 15:52:30,Deb Papuga,"Horrible Service In Wallingford Branch Recently, closed all accounts! 3 Women there were beyond rude, wouldn't wait on me, yelled a phone number at me! Closed the door in my face, while they were still open!",1
04/05/2021 18:38:57,Duane Muccino,"I've been a l loyal customer for many years and if you walk into the bank, you can and will be HELPED with any problems you face. Very friendly customer service never had an issue due to Banking error.  Stay safe everyone",5
11/03/2022 14:22:59,Lynette Holland,"Not happy with their customer service. If you're walking by people saying nothing, what are you doing. Greet people and let them know someone will help them soon.",1
01/03/2023 22:13:33,Jason Bernhardt,Great Bank I've been with them for over 15 years and they have gone about and beyond to keep me satisfied,5
01/13/2020 19:18:35,Nope No,"Nice local bank, strange name choice...... Update was in today and Justin took care of me; I HAVE NEVER RECEIVED BETTER SERVICE OR SERVICES for anything or any place. I now believe my life is now complete in ways that I can not quantify!",5
06/19/2020 10:30:41,fabiolas4,"Great bank, bad hours. Opens late and closes early and no time to go.  Should be open 8-6 or 7-7 to accommodate people who work similar hours to when they're open now.",4
06/08/2016 13:15:54,John Carlson,"THIS BANK HAS HELPED ME THROUGHOUT MY LIFE AND I AM NOW 65. THE PEOPLE THERE GO OUT OF THEIR WAY FOR YOU, TIME AFTER TIME. I HAVE GOTTEN A MORGAGE AND SEVERAL LOANS THERE AS WELL AS A DAY TO DAY BUSINESS. I HAVE NO REGRETS. MY GRANDFATHER WAS TREASURER FOR THE BANK THEN KNOW AS NAUGATUCK SAVINS BANK IN THE 1930'S. THANK-YOU FOR ALL YOU HELP, JOHN CARLSON",5
12/07/2020 15:20:44,Devin Rager,Bad banking service the app is trash checks take days upon days to clear can't ever get help with issues im having,1
04/21/2016 19:28:22,Donald Bobowick,A delightful bank with modern branding and modern staff.  You'll like it there.,5
04/24/2021 15:20:18,Mariah Treasure,Wonderful staff! Love this bank!!,5
04/10/2015 18:13:32,Maxine Harris,OUR PERSONAL BANK.,5
03/14/2023 02:34:04,Pablo Roggero,,5
06/20/2023 14:05:15,Mary Bergeron,,5
05/27/2020 16:19:21,Tina Royal,,5
03/14/2017 20:33:42,Jamie Weid,,5
12/14/2017 02:21:27,Elizabeth Leatherwood,,5
04/24/2020 15:43:24,Robin Armstrong,,5
03/25/2016 12:32:48,jackass77715,,5
02/27/2019 20:01:05,casey patchkofsky,,4
08/10/2023 18:20:32,albion shuki,,5
07/10/2022 22:07:15,Goldteeth Jeweller,,5
06/27/2019 03:06:00,Otaviano Pereira,,5
01/13/2022 03:51:49,Josh Farish,,5
