datetime,author_title,review_text,review_rating
02/26/2024 13:22:07,Frank Suttile,Special thanks to Ryan for help in adding beneficiary to my accounts. Staff is very helpful.,5
02/19/2020 18:13:31,Gina Vincenzi,"My goodness! What a wonderful manager they have at this location. She was extremely kind and considerate and explained everything I needed to know in order to cash my check without having an account there. I would highly recommend this bank to anyone looking for a new institution. Great customer service, and again thank you!!",5
03/15/2019 16:20:35,Mark Amero,"We just opened new accounts at this location.  Tanneth helped us, and she was SUPER FANTASTIC.  She explained everything, helped us set up our online banking, and even referred us to their mortgage department when we said we were moving back to the area.  She went above and beyond.  We are looking forward to banking with Ion in the future.",5
07/01/2020 18:46:17,richard butler,"Absolutely fantastic service. All the girls up front do what ever they can to accommodate your every need.  Almost feels like an extended family, it’s a pleasure dealing with them week in and week out",5
08/31/2017 18:30:36,Melissa G,"Awesome bank, Awesome staff!!!! The staff is great. They are very helpful and always smiling. Perfect place to do your banking!!",5
09/23/2015 20:08:41,April Cummings,"I have not had any problems, and everyone I have seen has been very pleasant",4
03/18/2022 16:40:44,Melissa Martin,,5
03/19/2024 21:24:32,Shqipe Vinca,,4
12/31/2019 15:30:06,Stephen Segretario,,5
02/02/2021 18:45:13,stephanie lk,,5
