datetime,author_title,review_text,review_rating
04/22/2023 14:12:41,Duane Muccino,I was pressed for time and waited for the bank to help the woman behind the counter 1 person helping the line of people and she was also trying to help the drive thru window at the same time all alone. This should be more than 1 person on duty for customer support.she was stressed but held together nicely and I was seen in timely manner.   Thank you ion Bank,4
12/15/2021 01:09:39,Gj,"I opened this account forgot about it.  since February I've been getting charged with inactive fee ($2) a month.  No letter, email, or phone call or anything.  You get a letter when you reach negative balance.   I logged into the website in January never mentioned it either.  This place steals from you doesn't notify you that your inactive.  How is this legal?  Stay away from here!",1
09/19/2020 16:16:33,Louis Bedini,"The customer service is beyond fantastic, specifically Tiffany Swiatlon. She's a pleasure to work with and has made my banking experience seamless. It's great to have a local bank with great employees!",5
10/16/2021 14:19:38,Gizelle A,"E-Waste recycling initiative @ Ion Bank headquarters: organized, friendly and efficient. I love this bank! PS Whoever was directing cars on where to go: you rock for being a warm, friendly person 😀",5
01/30/2016 17:21:04,Katy Hutton,"I honestly dont understand what happened to this bank. The customer service has gone down hill since it switched over to Ion. Iv been with this bank for so long and Iv gotten so fed up with it that im finally switching banks. First of all I went away on vacation and forgot to call them to let them know I was gonna be out of state. They locked me out of my account by locking my debet card. I called them and told me them that it was me using and the card and they said ok we will unlock it. Well they didnt and I had to call them 4 more times to get the card unlocked. Turns out they never did and I had to go to the main bank when I got back and get it taken care of. Iv had other problems with since then, pretty much everytime I call. The most recent thing to happen I had to report my card lost. I called them and asked them to send me another card. They said they were going to and that they put the order in. Well turns out when i called them today, they never put the order in. Now I have to wait even longer before ill have a card again. I dont understand why they cant get it together over there. So I do not recommend this bank to anyone. They are waste of time and a huge headache.",1
08/09/2016 11:47:11,Kathleen Bennett,I have never had an issue with this bank. EVER! And a foot note to anyone saying they changed after switching over......the name was all that changed. Still great services,5
06/02/2023 21:38:05,Todd Paloski,"Fast service, pleasant helpful employees. Very clean place.",5
02/25/2017 00:16:28,Atlas Shrugged,"2 computers available for customers - usually slow, unreliable or in some state of disrepair",3
11/30/2023 16:15:25,Nathaniel Resto,,5
03/14/2017 20:34:19,Jamie Weid,,5
06/04/2023 18:52:38,Ashley Hensley,,1
