datetime,author_title,review_text,review_rating
11/01/2023 05:59:00,Ted “Badweather!” Chaffee,"Drive through was vary, very slow, and it is very slow.
Then I was told I had to go inside, after waiting, nothing over $1000. At the drive-through. Need to go inside.🎤🎧😎",2
11/10/2022 00:59:55,Victoria Almonte,My husband Max Almonte stops by weekly. He loves the customer service! He is treated with respect always. We must say April is a tremendous asset to the bank family.,5
10/22/2021 00:04:26,Meghan Mallett,"Professional tellers who are prompt, kind and efficient. Recently needed some assistance with an issue, they (April) took the time to do some research and had paperwork ready for me within an hour. We’ve used them for years and have always had a great experience!",5
05/27/2022 14:57:46,Julie Kikla,"I worked with this bank for almost four years. They did not support from the minute we closed the small business loan. Further, though payments were being made, they still demanded the loan due while our business was fully impacted from Covid. They also sent miscalculated payments (clearly in their favor), and when it came to SBA assistance programs, we had to follow up with them to share the latest. There are many banks out there who will treat you like a human and work with you when you face difficulty (like a global pandemic). This is not one of them. If looking for a personal or business loan, save yourself the pain and frustration of working with this robotic team and find somewhere else.",1
04/24/2020 13:58:23,dolandlydia,"This bank has been very efficient and personal. I had bought a house in 2009, was financed by liberty mutual, they ended up selling my mortgage several times to huge faceless institutions.. When I finally remortgage with them cut my interest my 2 percents, have went to bat for me with my former bank and insurance company. Also a year later I had a personal tragedy and needed to get my hands on 25000, they gave it to me. I have confidence and security with bank. I recommend them highly. They are truly a small town bank. Just what I was looking for. Not a faceless banking institution.",5
01/17/2018 17:01:53,Jeff McCarthy,"This place is seres the rich not the mundane. The jokes they tell about the locals while waiting in line are offensive. The place is never busy, but it always takes 20 minutes to get serviced. The coin machine is down, they do not like to count change and they’ll let you know it. Unprofessional and overall inadequate. If you can go to another bank do so. Unless you’re wealthy and White, the. You’ll fit right in.",1
06/17/2021 12:21:05,Joseph Sabolesky,"I have had many great experiences with Jewett City Savings Bank. They are professional, efficient. Accomodating to all my questions and banking needs.
I have recommended this bank to many friends.",5
07/16/2015 01:56:24,Joseph Boland,"Hours are awful and online banking here is a joke. There is no mobile application and the existing online banking is difficult to navigate.

The people are nice and they have a few locations though, but it doesn't help if its never open

UPDATED July 15, 2015:

Jewett City savings bank updated their online banking and added a banking app and now allows more accounts to be available online. So I am much happier now that I can easily access my accounts from my phone",5
01/11/2021 17:21:04,Veronica Avery,"I have been a customer of this bank for many years. I am surprised to see the negative comments here. Having worked with the public for many years myself, I would like to suggest something to those who are not satisfied.  When you approach someone, do so with a smile on your face.  Say ""hello, how are you today?"" before you tell them what you need them to do for you.  They are there to help you.  Just try it and see what happens.  No one wants to be greeted  with a demanding approach.  Do you?  Take this suggestion in the manner it is intended. This is also a good thing to do when calling on the phone.  I find that many times it is a
surprised reaction when I greet them in this way before I explain what I need from them.  I am not  downing  anyone. We all have bad days and personal struggles.  So does the staff.  If you have a problem, remember that they did not create it but will help you solve it or suggest what can be done.  In these hard times it is especially important that we remember that we are all in this together.
Thanks for taking time to read this.  I am an extremely satisfied customer.",5
07/16/2023 12:07:34,Cheryl Viens,The Preston office is fantastic! Great and professional ladies and gentlemen work  there!  Always accommodating!,5
06/16/2023 23:08:41,Jonathan Hardin,Everyone at JCS Bank has always been super helpful and courteous. It is a fantastic bank.,5
11/23/2015 15:32:20,Tito Pacheco,This Small Time Bank Charges You For All Type Banking Needs. From Money Withdrawals While Using Your ATM To Cashing In Penny's. Yes You Need An Account But In The Several Times I've Been There The Lady At The Desk Has Misinformed Me To Making Me Look Like An Idiot For Trying To Cash In  $2.50 Worth Of Penney's. I Don't Recommend Anyone From Out Of Town Doing Any Banking At This Place. The Only Thing They're Good At Is Being Unprofessional !,1
06/24/2022 02:49:16,Maria Barberio,First time visiting. Very pleased w the tellers and customer service. Beautiful building. Very nice Hometown type of bank.,5
11/05/2021 14:05:42,fenando tirado,"Not the bank to go to for a mortgage loan after a few weeks they tell me my DTI was 53% and their guidelines cuts off at 48% LOL they did not even try to work with me on maybe try and look for another way around it because my credit score is 780 and i have 3 houses financed and looking to buy more ,,i feel we could have worked together and maybe removed my daughters student loans from my name ..not impressed,,your loss i will be buying LOTS of houses and giving someone lots of business",1
06/29/2016 19:23:59,Brian Stepnowski,The tellers are all awesome! Like this bank but the hrs kinda stink. I get out of work around 4 during the wee and never can make it in time. At least 5pm m-w would be nice.,4
03/20/2020 18:44:06,S G,The entire staff that works at this bank on Main St in Jewett City is very stuck up & rude. My fiance just went in there & was treated like a piece of dirt. They should be ashamed of themselves!!,1
10/23/2022 16:13:38,Lisa Ali,"Just wanted to give kudos to April, she is the go to girl when you have an issue with your checking account! Thanks so much for all your help!",5
06/10/2018 13:21:32,Doreen Boulanger,"They need to hire more people with pleasant personalities. If you are going to work with the public, have respect for your customers!",1
05/04/2022 01:35:02,Heidi,Nothing like being ignored. Very snotty. Not professional,2
11/21/2023 21:01:22,Noah Werling,Do not bank here.,1
02/10/2016 19:12:24,Charlene Terry,WOW!!! Talk about rude and unprofessional! UNREAL how poorly we were treated!,1
11/17/2021 14:16:26,Harold Clark,It was ok,5
08/29/2018 01:52:33,Luis Oviedo Ortiz,"Es un poco arcaico el Banco. No tengo quejas, pero desde que contrate la cuenta nunca pude usar el homebanking; si o si tengo que contactarme por teléfono para poder ingresar o habilitar la cuenta. Solo me paso en este lugar. Sacando que es un banco poco amigable a la tecnología, lo demás es excelente.",4
02/21/2023 17:08:41,Madison cross,,1
