datetime,author_title,review_text,review_rating
10/08/2023 03:56:05,Nicole O,"This bank is all around just awful as a business. Brick & mortar banks aren’t really necessary anymore and Liberty ESPECIALLY isn’t interested in keeping customers. I’ve been a customer for almost 20 years and I’ve reached the final straw and am in the process of closing all accounts with them. For almost everything you have to go to the physical location which is a nuisance. I had a fraudulent charge from a gym (after I canceled my membership they kept charging me). I called Liberty, explained my situation and that I had physical proof of the gym’s error. Liberty rep told me they wouldn’t even investigate. They immediately sided with the business. Since they’re business is making money off of their customer’s life’s earnings, they should have those customer’s backs when their earnings are taken fraudulently, but that’s not the case with Liberty. I HIGHLY recommend switching to Ally. Customer service is great and I’m making a ton of money in interest just having a savings with them.",1
08/04/2023 20:14:24,Lalania Thielen,"Friendly courteous helpful staff, knowledgeable and welcoming. Informative.
Comfortable chairs while waiting.
Change machine on sight.
Working one day but not the next.
Had a few issues but the staff offered solutions to resolve the problem.
Overall good experience when opening an account.",4
11/25/2023 17:56:39,SDS 123,"This bank, and especially this branch (South Main), has helped me out innumerable times. Great service and good people.",5
12/19/2022 16:34:17,Sarah Sanders,"I've been using Liberty Bank for as long as I can remember, and the service has always been fantastic! Today I received absolutely stellar service from Kate Begin. It was a weird transaction, yet she made sure to do everything properly, apologising to me for my patience, when honestly, it involved found money, so I would have happily waited! Thanks again to everyone at Liberty Bank, but especially Kate!!",5
05/27/2022 22:24:56,Mike VA,"Liberty Bank is the best bank around if you live in CT. This branch has a lot of nice staff, though the manager is a bit of a stickler. She made me drive home to print a copy of a document I needed notarized instead of just using their printer. Minor annoyance but still an annoyance.",4
10/12/2020 13:41:24,Debbie,"When I opened my account I spoke with Katie. She was very knowledgeable and professional about what I was looking for in what the bank had to offer, which was the best for me. The drie-up tellers are also very good at the window and always helpful and more than happy to answer any questions you may have 😃",5
08/24/2020 17:51:29,Deb Johnson,Not good at all! Drive up window  ... 2 windows open arrived at 1:16 still sitting in line of 3 vehicles at 1:47 presently.  Newly relocated to area wanting to make this location my new bank... seriously doubting that choice.... 1:48 first vehicle just departed..... I am accompanying an account holder... who is also not pleased! Thinking it’s time for a new banking decision on my part.... 👎,1
08/03/2019 14:58:12,Nicole Schiavone,Crystal is so rude. On multiple occasions. No customer service skills at all. I asked a simple question & she snapped back with a horrible attitude. I asked why I had to come down to the bank so my husband can cash a check made out to both of us when I did mobile banking & cashed multiple checks from our wedding May with no issue. Pretty much called me a liar. Thank god I never usually have to go into the bank since one the few occasions I have been in their she has had a attitude. Get over yourself.,1
11/08/2019 20:15:21,Keisha’s World,Everyone here is amazing! They work super hard to give the best customer service possible. Great team work and good vibes all around.,5
09/04/2022 23:46:36,Mckenzie Wilk,Crystal is so rude and disrespectful why she's at the window is beyond me,2
09/23/2019 20:49:33,Denise Moreno,They are always so helpful and know you by name.,5
02/15/2020 13:25:19,Mandy Weber,Love my neighborhood bank!!!,5
10/27/2021 05:03:55,Davon Blanks,,5
12/04/2020 20:15:58,Martina Jordan,,5
07/18/2020 14:57:01,james peruta,,4
