datetime,author_title,review_text,review_rating
09/08/2023 13:10:04,Jason Peters,"The ""MAIN BRANCH"" and its CLOSED on Saturday???(and when they ARE open, its for a 6 hour stretch 🤦🏻‍♀️)Why do such vital service places such as banks spend SO LITTLE time being of service when i can get a tattoo, a hot dog, or booze until 9pm, 11pm, and definitely all day on Saturdays AND SUNDAYS.... make THAT make sense.",2
11/04/2016 23:13:09,Chris Ramsdell,"I'm finishing up buying a home using Liberty. I had the distinct pleasure of working with Gail Bartoli, and she was amazing. If I had ten pages to tell the story, I would, but suffice to say that the process wasn't quick or easy, there were a few false starts on homes that didn't pan out, but Gail was always available, either via email or phone, to answer any questions I had. She made what was a very stressful experience the best it could be.",5
02/14/2019 02:25:09,Jason,"If you are in the market for a house as a new homebuyer, you are better off going to another bank. Their communication is terrible. They will waste your time and money and will pull the trigger at the last minute for failing to do their preschool homework the night before.",1
03/31/2016 20:21:06,J. Owner,"Timika White at the small business dept is fantastic ! she worked very hard to make sure i was comfortable with a loan she helped me get , never have i had a person with such amazing customer skilled and knollage in there field  of banking . I would strongly recommend this bank i drove there from Niantic to see them..",5
04/07/2020 12:53:02,Glenn Russo,"These bankers sit around all day think of new ways to alienate customers.  Endless rules and restrictions.  And get this, this  so-called ""local bank"" doesn't let you call a local branch, instead that route you to a 1-800 number that no one picks up, a computer tells you to leave a message with a phone number which they never call back. CLUELESS BANK !!!!!!!!",1
08/16/2023 13:31:28,Louise Toro,Always been kind good helpful and friendly to me.,5
12/08/2021 17:50:13,Ted Sorensen,I have banked with this bank since 1998 and they have always been professional and caring.,5
12/12/2023 18:06:57,John Pagano,They Suck ! Period,1
06/04/2022 14:43:28,Michael Palangio,I am going trying to download Liberty Bank on my iPad,3
03/29/2020 09:22:30,yashka irkin,"cannot reach their online sight and my account
I am stuck in Europe and it is totally NOT helpful!!!!",1
10/05/2021 05:29:51,Kat S,Best bank around! No atm fees either,5
09/07/2016 12:38:52,Robert Crum,Has a policy of not working with xero.,1
11/16/2022 17:40:39,Joe Costello,,5
