datetime,author_title,review_text,review_rating
08/09/2023 18:36:23,TK Vestal,"The bank itself is ok and staff is nice if you go inside. But, if you must go through drive-thru it takes 30 minutes when there are only 2 cars in line. This has happened many times to me at various times of day. Going in is an option for some but many of us use drive through because of limited mobility.  During busy times managers or someone in the other offices should come help out with customers at the teller's window instead of one person trying to help walk in and drive through and backing up the whole process.",1
11/19/2020 21:52:20,Kat Startz,Local branches are amazing with great people.   Actual customer service people that help you when you call the 800 number are unbelievably incompetent with no follow-up and apparently a complete lack of communication with each other.   Each phone call yields a different answer to the same question.   I've had better follow up from my vet after my bunny got neutered than I do the people that I deal with money on and have an ira through.   Hope you never really need something from them.,3
03/13/2021 13:44:21,Mr. 94 McCloud,"Opened 2 accounts with them and they were so nice and very professional, everything was explained to me down to the last detail, extremely happy with my decision to choose liberty bank 🏦 😊",5
08/17/2022 19:51:25,Benjamin Crowley,"The in person experience and customer service is fire, and the only reason I stick with them. The customer service representative call center is very terrible. They are very rude.",3
04/30/2021 19:49:59,Janet Reza,"Always professional, always friendly.  Have been associated with this bank for years over 20 At least wouldn't bank anywhere else",5
10/06/2022 19:48:41,David Guzman,Professional and attentive. Thank you Ornet Hines with assistance on obtaining a business line of credit.,5
07/16/2016 17:31:04,Tiffany Mcdonald (Lil t),Money gets taken out of my account for no reason! Customer service has no clue and bounces you all over the place smh I will be closing my account,1
06/01/2018 00:14:52,Mark,Had them for a bank once had issues with them personally that's just my opinion,3
10/14/2020 18:21:12,Chris Morris,Literally every time I go here the ATM is broken.,1
04/01/2019 11:19:23,Victor Lugo,Very friendly. B,5
04/19/2018 20:11:21,Louissaint Stanley,Bad Customer service,2
09/19/2017 10:38:06,michele ryan,Friendly local bank,5
05/04/2016 16:29:30,Nate Davis,Friendly staff,5
09/22/2016 22:24:13,Cory Wetherby,Awesome bank,5
09/23/2022 20:28:36,Laura Grimes,,1
01/18/2021 14:15:13,Joyce Morin,,5
09/11/2017 20:25:12,Cesar Santiago,,5
02/05/2017 02:48:45,Dee Stafford,,5
05/18/2016 18:32:58,Anabel Averso,,5
