datetime,author_title,review_text,review_rating
04/12/2023 15:56:41,Nick Amoratis,"I have yet to go to any of the Milford Bank branches and ever have any issues. However, I use the Stratford location mainly. Matt has helped me on multiple occasions. He always looks out for my best interest and is quick to respond on any task. He is great to work with and easy to trust with your money or investment. The rest of the staff is also very kind and helpful as well. Milford Bank is growing and evolving, but they constantly prove they still care about their customers (small or big) and maintain good relationships with them unlike other banks. I highly recommend Milford Bank to anyone looking for a bank they can trust with great customer service.",5
02/03/2024 17:09:57,Harry Ureña,Great financial institution for small businesses but also for personal accounts.,5
12/14/2023 04:26:34,Joan Ripke,transferred from that awful MT bank what a difference very nice and helpful people.,5
05/25/2021 11:17:55,Joan Law,We have been a Milford Bank family for quite some time. We were searching for a local community bank and found what we were looking for at TMB. I appreciate how much they give back to our community and value the personal service we receive.,5
05/11/2021 15:59:21,john ferrando,Great local bank. Always nice to walk in and talk to someone.,5
01/21/2020 14:57:50,Dorje Chen,"This is a great little, local bank. The staff is friendly and helpful.",5
12/05/2020 23:01:37,Ferry Blvd,"Very nice people , very good our bank !",5
08/26/2019 15:03:12,Inksplosive Al,Five stars for the ATM!,5
04/25/2023 12:00:16,George Albano,,5
05/11/2021 22:51:58,Nikos Avramopoulos,,5
07/06/2017 23:42:41,Patrick Price,,5
