datetime,author_title,review_text,review_rating
08/03/2020 19:27:22,CMPerry VTC,"Last year's 👎

This year's service and willingness to assist and work with...👍 Susan you have been extremely helpful a true blessing.

Rating would of been 5 and basically is considering I would ofgof a negative if able to last year.",4
02/24/2016 13:27:03,Food Critic,Have this bank for years and went to do some business on tues . Afternoon and to hold and behold this damn bank closes at 3. What bank closes at 3? I'm ferious. This bank doesn't not cater to the customer they worry about themselves . I think they forget businesses are open and doing business until at least 5. They give a whole new meaning of bankers hours. Try lazy hours,2
12/23/2019 00:53:21,Steven Ozerhoski,They are always there to help you with the up most professionalism. They have been my Bank since 1976 approx! I would highly recommend them.,5
04/03/2020 16:48:02,Kathleen Adams,I've been at thomaston savings bank for 30+ years nice atmosphere friendly tellers and they have hours that I can work with,5
10/26/2020 19:04:01,Patricia Bendoraitis,Excellent customer service! They really have a hold on the pandemic disinfectant procedures. Always friendly,5
08/17/2019 11:18:56,John Parshley,This is a great bank with very personal service and loyalty to its customers in its loan procedures.,5
02/17/2021 17:43:07,Paul Delasco,Clean. Friendly staff. Good checking and savings options.,5
07/04/2019 02:50:47,Alex Milak,"Great service, Diane and Sydney are the best!",5
06/11/2023 13:08:33,Roland Perreault,,5
03/09/2021 18:28:20,justin gentile,,5
02/27/2018 13:39:05,Gabrielle Morales,,5
03/04/2016 21:08:29,Brooke K,,5
