datetime,author_title,review_text,review_rating
01/08/2024 15:50:12,Staying Clean,"Every time I walk in, they greet me by name. Very helpful, courteous great bunch of tellers. The services here are great. No charge for my checking accounts, free change counter with account. ATM always up, and functional. Love this bank. 😉👍",5
11/22/2022 22:20:39,tammie valeriay,I highly recommend ThomastonSB. The customer service is the best. The bank locations are very convenient. When I switched from my old bank I was pleasantly surprised at the great service at Thomaston.,5
09/14/2018 20:51:26,Jamielyn Cugno,Great customer service always friendly good hours and location for me is right on. I have tried other banks but this one is by far the best one yet.,5
03/01/2017 03:59:33,Jacqueline,"I do not know why they cannot make their ATM accessible from a normal car.
I have to either get out of my car or drive to the other location, which is not as convenient since I live a short distance away from this location.",1
08/19/2021 01:26:11,Colleen Provancher,Great customer service! Amber is awesome!!!!!,5
05/30/2019 15:00:02,Daniel Imbimbo,Very friendly helpful.,4
06/10/2022 21:35:01,Aimee Jusino,Friendly staff,5
06/21/2019 14:09:57,Melissa Slutzkin,,5
07/26/2019 19:38:52,Lucio Ferraro,,5
09/24/2019 11:23:42,Kathy Zovich,,5
08/03/2020 13:49:07,Eric Bouvier,,5
11/30/2022 06:22:39,Shannon Boucher,,5
