datetime,author_title,review_text,review_rating
07/06/2023 18:19:37,b r,Wow never in my life have I ever had such a rude bank manger. It’s a long story but both asst. manager  and head manager unprofessional. New customer local contractor in town of Bristol  and sadly closing my account here. I rather pay fee than be talked to the way I was and my poor 15 son  here at the middle st branch Bristol. Please stay away drive pass this bank!!!!!,1
08/14/2022 14:58:46,Tina,"Love TSB and will likely look into their first time homebuyer program within the next couple of years. Definitely a bank that takes pride in local community affiliations. If I had one recommendation for the owners of the bank it would be to improve online banking. No Face ID on it for iPhone users, and the server has gone down multiple times in the last few months or so making it inaccessible for a short period of time. But a good bank nonetheless.",5
09/30/2022 12:08:41,Ritchie Morgan,"This bank has been so good with me and my family I can't I can't live without this Bank every time I need a loan to get out of trouble with the IRS or buy a car or fix my house you're so kind and they hope and work with us every time and low rate never hit us with high penalties ever been with this thing for 31 years now my wife's been there for 58 years she was at the terryville branch and she lived in terryville Connecticut call wife you lived there but again this thing is taking care of me and my wife greatly matter of 24 hours we get money we need loan to us if we need it and everybody there is so kind all the guys the girls the executives everybody it's time to go to everybody do they actually know your name when you walk in every one of them know your name thank you everybody and helping us out with you these many years and even this past year with an IRS problem you helped us out thank you anybody who reads this leave your other bank and go to Thomas and savings I'm telling you right now you'll be very happy you did Mr Richard a Morgan Jr and dawn l Morgan and now our 24 yr old son Richard a Morgan the third he also Banks there now thank you guys very much you're more like family than a business thank you...,",5
01/14/2020 14:42:41,Ashley Morilla,Love this bank and the service they provide. Great for anyone with low or high income and no crazy fees. The regional manager Kimberly was great at helping me with everything I needed.,5
02/27/2019 15:04:06,Samantha Wojnarowski,"Amazing customer service, quick response time, very knowledgeable staff. I highly recommend this bank to all parties looking for a new banking service!",5
01/07/2014 17:17:58,Michael Ganem,A local bank that values the traditions of its founders for over 100 years.  It's awesome to walk into any business that knows you by name.,5
03/03/2023 08:02:35,ILIANIS RODRIGUEZ (Lilly),,1
09/26/2022 18:07:06,zoila calle,,5
01/12/2022 04:27:54,Nelly Aviles,,5
10/24/2019 16:52:54,Kevin Rivenburgh,,5
07/26/2018 04:27:05,Erica Carrero,,3
06/24/2017 00:22:22,Rebeca McKay,,5
