datetime,author_title,review_text,review_rating
05/09/2023 18:18:16,Kimberly Taylor Cross,"My husband and I had a great experience working with Darcy to open up a new personal checking account. She was very thorough and answered all of our questions. She took time to sit with us and explained everything. I later visited a coupe days later to open a business checking account. I can't express how great this personal one-on-one service  was - and it is so important. We never had this great of an experience with Chase or Citibank. We're so happy we're banking with Union Savings Bank now. Thanks, Darcy!",5
03/28/2023 13:30:01,S B,"Lisa was great at assisting me and giving me information I needed and gave me the security in feeling confident to open an account and switch banks. Michelle was very personable and helped me feel relaxed while opening my account, she walked me through the steps and provided everything I needed. I greatly appreciate everyone at the branch who I’ve interacted with.",5
06/14/2019 11:15:39,Glenn Wilson DMD,"The staff is outstanding.  Always very friendly and always take care of whatever my needs are. From the drive through tellers to the bank manager, they always help me in a very friendly and professional manner. Five stars all the way.",5
05/07/2015 15:04:20,House of Warmth,Would NEVER recommend Union Savings bank for personal or business banking.  Their claims about helping small business....nope....customers best interest first....nope....meet the needs of their customers....nope....  I just had the WORST experience with them.  It was a total slap in the face and I immediately withdrew my money and will be taking my business elsewhere.,1
05/05/2016 18:47:35,Douglas Skelly,"Best bank around. I've been with them since I was a kid.
I do both my business and personal banking with them.
Always excellent service in the Danbury Rd. New Milford branch",5
01/15/2024 12:45:36,Christine Costable,This is a bank where they know your name.,5
06/04/2021 19:17:15,Tim McGainey,"The whole staff at that branch is wonderful. Very nice, knowledgeable and, courteous.",5
11/27/2019 17:16:03,Stephen C,The staff is very friendly and helpful! I have never had a problem they couldn't resolve!,5
01/21/2017 13:24:57,Tarra S,Very friendly and helpful staff.  Service always comes with a smile.,5
08/01/2016 15:09:06,Albert Burgasser (Al Burgasser),"Excellent service, friendly knowledgeable staff",4
02/21/2020 22:54:34,Lg lg,,5
02/02/2024 20:16:19,Tom Cebic,,5
