datetime,author_title,review_text,review_rating
07/12/2019 16:36:10,Yer Highness,"Don't bother going to this branch for a loan.  At first meeting, the customer service we received was cordial and professional.  A follow-up call a few days later earned me a frosty response.  A few days later, an even frostier call made me realize these are not nice people.  We went to another source and received the best customer service, ever!  We are now happy campers, but wiser about this particular branch of Union Savings Bank.  Would not attempt to do business with them again.",1
06/29/2021 01:24:30,Richard Buck,"I have had only good experiences dealing with the folks at the Southbury branch.  They have been most helpful in settling some accounts of my deceased mother, and helping to transfer money to set up a checking account for me.",5
11/15/2023 18:13:15,Tom McDonald,Still has a feel of a hometown bank!,5
03/04/2018 21:38:55,Jeffrey Lynch,By far the best banking people I have ever dealt with. They all know my name and are extremely helpful to any problem I have had.,5
02/11/2017 22:18:11,mb mcgrath,I'm taking my money out of there and finding a bank with a website that works! Better customer service and more convenient locations~ small town may have worked 150 years ago but it's time to catch up!!,1
09/01/2017 12:14:57,Amy Yarn,Awesome bank ! Always had issues with other banks but this bank I've had for a year with no problems!,5
03/07/2017 19:56:38,Margaret Byrne,"This bank charges for teller checks, even when you have 2 checking accounts, 1 savings account, a credit card, and your mortgage with them. What type of customer service is this?????",1
03/03/2022 22:11:58,Tyler Hardisty,The man working at 5:11pm on March 3rd 2022 is a absolute donut and shouldn’t be working there.,1
07/30/2023 15:30:42,Jim Kaiser,Southbury Branch 06488 Union savings bank,5
10/24/2019 10:13:18,Judith G,"Friendly, professional and extremely accommodating!",5
10/01/2019 18:16:54,robert meisel,Small local bank does it RIGHT!!!!!!,5
11/10/2020 12:45:42,Amy Bresson,They are awesome!!!,5
12/02/2021 01:00:51,Nicholas Annese,Great experience,5
05/31/2023 21:21:51,Dan Shea,,5
