datetime,author_title,review_text,review_rating
01/25/2024 21:31:25,quiggers,"We just moved to the area and need to open a local account which we haven't done yet. But when I took my  12 year old in to turn some of his saved coins into dollars, we were turned away because we didn't have an account.",3
06/30/2022 17:26:59,B F,"As a new resident of New Milford, I was very happy to be opening an account at a local branch bank. The people were all helpful, knowledgeable and patient. We had to leave 2/3 through but were welcomed back upon return to complete opening the account.
The bank branch is beautiful! It's always a pleasure doing business in attractive and soothing environments. My husband is a cabinet maker and we admired the ceiling and detail work... If you want personal service with kindness make Union Savings Bank your bank!",4
04/16/2023 17:06:07,Sandy Servidio,"If you're looking for a bank that really listens to you, you should try Union Savings on East St, in New Milford.  Mr. Geoffrey Ball is excellent and caring and listens to your needs, l highly recommend him if you need any banking advice.",5
12/04/2023 15:48:16,Jodi Harper,"Super friendly staff. No line inside,  beautiful lobby",5
10/21/2019 06:06:59,Jennifer Harris,"Very nice bank, they are friendly, i really like the bank, you see their pens everywhere that tells you that they have some form of connection their, the business is very informative,  hoping they will continue to serve. I heard members of their bank is saying that they don't have any location in waterbury ct. I do hope they will consider one in that town soon.",5
02/17/2023 14:42:35,Steve Antonacci,Great experience and excellent customer service in this Bank. I also very much enjoy the historic building the bank is in and the history around it .,5
02/17/2022 21:15:15,Bill Petkanas,"Nice people, always a pleasent transaction. All the normal things but when I needed something odd (a few hundred dollars worth of Euros, for example) they were great; got them for me in a few days.",5
04/13/2018 15:59:45,Ro Adams,"I can not say enough good things about the staff at USB.  Rui and his team have always been helpful, knowledgeable and professional.  Thank you for all you do.",5
04/24/2021 03:46:08,Timothy Dunne,"The CSR's at the East Street branch in New Milford, Ct. are always professional, competent and helpful.
A Great team",5
04/24/2019 17:38:46,Tonya Farber,"The staff members were professional, friendly, efficient and exceeded my expectations in customer service. Excellent service. Thank you.",5
07/11/2019 01:53:16,Lucilene Cazassa,"They are super friendly , I feel like family walking in and they work hard to get us the help we need.",5
03/25/2022 20:09:16,Adrian Shephard,Watch out for the bicycle man,3
12/14/2019 10:23:16,pat beasley,Helpful knowable staff,5
07/17/2019 16:57:28,Erica Dulworth,,5
08/14/2017 19:32:06,Aigulya Zholdasbek,,5
08/14/2019 19:14:35,Amanda Shrack,,5
