datetime,author_title,review_text,review_rating
09/13/2023 18:14:40,Nick Ramirez,"Spent 20 minutes waiting to talk with a representative, only to be hung up on. And when I called again, they had no information about the promotions I had signed up for. I’m sticking to Chase from now on.",1
07/12/2015 02:11:52,The Midnight Spectrum Club,"Extraordinarily Underhanded with Collecting Overdraft Fees!!!!!!!!!!

What they have done to me is this.  When I make purchases, they deliberately do not take money out of my account until I have a very low balance, causing me to overdraft $35.00 each time.

A while ago, they did another backhanded method to me.  They always send emails when you overdraft and decline your card when you overdraft.  This time, they did not send an email and allowed me to overdraft on a declined card.  Having a burger and ribs with my brother on the 4th of July, didn't cost me $20 at a restaurant, it ended-up costing me almost $60 because of Citizens Banks' snaky methods.

I paid over $700 with these dishonest practices.  They won't tell you that their policy is to forgive one $35.00 overdraft charge a year, and they act snarky about this too.

This is a company that takes advantage of the working class, people with debts and people who live paycheck to paycheck. Watch your account daily and always keep $100.00 in your accounts that you do not plan to spend, to insure against overdrafting.",1
05/07/2011 22:30:56,Duncan Goodall,"If you own a small business and you need a line of credit, whatever you do, do NOT go to Citizen's bank.  Their Loan Officer Michael Montelli is rude, dismissive and arrogant.  They hook you on a line of credit, then jerk you around until all you can think about is taking your business elsewhere.   Michael is particularly devious doing underhanded things without telling you, such as changing terms/conditions etc.",1
08/22/2017 20:12:48,Jim Edwards,"I recently moved to New Haven and transferred my account to this bank.  I have found them to be extremely friendly and helpful, actually the nicest interactions I have had with New Haven.",5
12/17/2018 11:37:27,Nkenge Hook,The staff at Citzen's Bank are very professional and kind. They are quick to assist you and even remember your name.,5
07/08/2016 17:20:42,Chris Vigilante,This branch is extremely customer service oriented....they always make banking easy. Great Job!,5
12/30/2016 03:10:39,Nate W,Way better staff than Wells Fargo. Very patient!.,5
10/14/2022 18:42:54,Donald rowe,I do not recommend this bank to anyone,1
06/07/2017 16:20:07,Simply Netta,Parking is horrible and their is know drive up,1
04/27/2018 20:33:37,Thayer Gregg,Who closes at 4pm?,1
03/07/2018 13:23:39,Jose Rivera,,5
11/03/2015 20:58:03,Jose Franco,,5
12/22/2023 17:19:05,Ronda Brockenberry,,5
01/19/2021 14:19:39,Stephanie Brewer,,5
10/10/2020 17:26:30,Lisa A,,5
02/11/2018 15:51:38,Khalfani Ajamu,,5
