datetime,author_title,review_text,review_rating
06/21/2023 16:44:57,Ashley A,"Stopped by to get a Cashier’s Check for my apartment move in costs. The teller was friendly, quick, and efficient. I have had poor experiences with other banks in the past, even for simple requests. Glad to be a Citizens customer!",5
01/23/2024 16:15:17,Nicholas Psaltakis,There are very few full service bank locations. Depending on who is working and what you need the experience will vary.,3
06/06/2016 12:45:15,Kate M.,"I have been with Citizens Bank for almost 10 years (at various locations) and have always had a positive experience. This Manchester branch in particular has always provided excellent customer service. Last week I needed a wire transfer for my home closing and Citizens Bank came to the rescue. I was given exactly 90 minutes before my closing to wire funds to the seller's account and it needed to clear prior to the start of closing. Nick, the Branch Manager, processed it, provided me his business card in case there were any problems and stated that transfers usually post within the hour.

When I arrived at the closing my attorney informed me that 15 minutes after I had notified her that I initiated the transfer, the money had cleared. I was extremely impressed (and relieved!) - it was one less thing I had to worry about for my closing. I also noticed another woman who was at the closing; a young woman who looked extremely upset and nervous. Turns out this woman was a customer of a different local bank and had initiated her wire transfer at 9:00 am - and at 2:00 pm it still had not cleared!

The attorney looked at me and said, ""Well it looks like Citizens Bank is the place to be!"" And I sat down at the table to start my closing and thought, yup, it sure is! A big thanks to Citizens Bank for helping make my home buying process a little less stressful.",5
07/21/2014 17:00:39,patti dionne-joseph,"John I went to Citizens Bank, to open our checking and savings accounts, and when we walked into the bank we were greeted by the tellers and were treated like we were family. Although John has his mortgage at Citizens, we didn't realize we could get the very best program without any maintance fees for checking, a line of credit for overdrafts, estatements and we get free checks!! We found Nick (account manager) and Ted (bank manager) to be real people, with real hearts. They truly understand the troubles of the economy, and how hard it is to make ends meet.

What a great bank to do business with.  Check them out, and see for yourselves!",5
05/03/2018 22:20:51,Nina Baccala,"I hate most banks but these people are particularly heinous.  They don't even deserve the one star I had to give them.  They tell lies all day long.  Promised me I would have the PIN the next day and of course no PIN.  Can't tell you how many times they have made me pay 12 bucks for an overnight card that is useless because the PIN doesn't show up for another 5 days, after they lie to you and say it will be there the next day.",1
09/22/2013 22:55:03,Eileen S,"I have been going to Citizens Bank in Manchester ever since I moved to CT. five years ago.  I love that they are so friendly, always make it a point to greet me, and treat me like a REAL person.....not like some of the other banks that I've been to!  Best Bank in the area, that's what I think!!!!",5
09/20/2014 18:43:45,Seth Darvick,"I have dealt with numerous banks over the past 50 years--mostly uneventful. I found myself usually taking a defensive posture on way too many occassions. I had my funds/loans etc through CBT and Bank of America. I can tell you that they pale in comparison to the Citizens bank I deal with in Manchester, CT. Their Branch Manager is an intelligent man by the name of Ted Kowaleski. It's easier to just walk in and ask for ""Ted."" He has processed and solved many problems that I deemed hopeless--I would never understand them. Ted has dealt with every issue that I brought to his desk with a smile and with an eagerness to make the client (me) happy when I walked out the door. Truly, great customer service that has gone missing from not just banks, but other businesses as well. Citizen's Bank is lucky to have a guy like this. I live in Farmington, yet drive to Manchester, bypassing a million other banks that are more convenient for traveling from my home.",4
09/15/2020 11:37:34,Olga Jacques,The staff is very professional and accommodating.  Every interaction has been very positive .  Including the customer service representatives on the phone gave me accurate information and were very polite. Thank you!,5
08/04/2021 19:29:37,Jessica Cabanellas,"Manager doesn’t know some information, new people on front desk constantly changing (not well trained to perform the job), only one cashier performing the job by herself.",1
04/11/2019 17:01:54,lissa,Horrible costumer service and very unorganized I would not recommend anyone to get this bank because your going to be jumping through a bunch of hoops to not even get done what you need too,1
01/17/2020 22:03:01,Miguel Godoy,"Worst branch ever, period.",1
08/10/2017 21:53:59,Gigi Lemos,Ok 👍,5
01/15/2022 16:34:27,Thomas Fowler,Everything is good.,5
07/07/2023 17:30:18,Raquel Adames,Excelente Servicio al Cliente!,5
08/22/2012 19:33:58,Aaron Weintraub,,5
11/09/2020 18:22:16,ABC U&ME,,1
01/13/2022 20:08:49,Danyelle Puzzo,,4
11/09/2017 19:19:23,louis scionti,,5
