datetime,author_title,review_text,review_rating
01/26/2024 15:47:51,Yo Freak,"Someone stole my card and used it at their location at 820 Western Avenue in Chicago, IL. They said they can't check the cameras. And they cannot assist in helping to find the thief. Because I don't have an account with them. Interesting enough I even told them the exact time the transaction was done on my card 5:15 PM",1
02/13/2024 22:53:35,La'Trina,"Amazing staff, very attentive and patient.  I got all my goals met at this location, highly recommend",5
06/24/2019 20:34:48,Jami Stone,"This branch has perhaps the worst customer service I've ever encountered.  Specifically, Galina Goy (Assistant VP), is the most dismissive and least helpful bank employee I've encountered in quite a long time.  I visited the branch to make changes to an account.  During the 20 minutes I was there, she proceeded to tell me all about how people were quitting and didn't like working there any longer.  Once I had signed several documents to authorize changes, she tried to make the changes in the system but wasn't sure they were going through.  She assured me that she would follow up and ensure the changes were processed.  After I confirmed they were NOT processed, I called the branch a few days later and she rushed me off the phone, telling me she would call me back.  That never happened.  I then visited the branch in person again - when I walked in, she saw me and (literally) raised her hand up to 'shoo' me away, as if to say I don't have time to talk to you.  Really?  She finally made an appearance and effectively told me she didn't know how to make the changes I was requesting.  When I inquired about why she couldn't at least return my call to tell me that, her response was to tell me she was 'in a situation where she was helping customers on the line'.  I finally asked for my documents to be returned and informed her that I would be visiting another branch.  Do not bother trying to do anything in this location.",1
08/24/2021 17:38:18,Rogers Clarence,"I was treated with a great deal of courtesy, consideration, dignity and respect at this branch. They were very efficient and effective and helped me to get a lot of things accomplished; with the focus on my future. Thanks, Fifth Third.",5
10/22/2020 21:42:31,Taylor Spratt,"I wish I could give zero stars.  I had a couple hundred dollars in an account I forgot about; not only did they take all of that money in ""service fees"" but then they kept racking up the fees and wouldn't waive the $7 in overdraft.  You'd be better off keeping your money on your front lawn because at least then there is a chance it'll still be there in the morning.",1
03/15/2023 22:34:15,Max Maxim,I recently became a client of this bank and I am very satisfied. Many thanks to the staff for their courtesy and help.. дякую і гарного  дня.,5
02/17/2023 03:16:01,jamie Barrera,These lady's are not helpful and disrespectful tried to open  an account  was told they couldn't help me and when asked  why they were unable to provide any information as to why I can't open a new bank account or where I can open  a new account  this is how your employees act to customers,1
05/14/2022 18:47:06,Stephane Jean-Louis,One of the employees gave me awkward racist vibes. After one glance of me there was an automatic change of experience. Didn’t appreciate the disrespect and I sure won’t be coming back nor advocating great service.,1
03/26/2021 22:00:38,TEBarrettJr,The ladies here have always been helpful and kind.  I'm assuming the 1 stars are just salty folks trying to blame their irresponsibilities on anyone but themselves.,5
09/30/2019 19:29:08,Kalki Bommaraju,It’s getting better now that Fifth Third has taken over. The bank closes at 6 pm everyday.,5
02/17/2021 00:09:51,Victor Garcia,Everyone that works here is completely rude. Worst 5th 3rd branch.,1
06/04/2020 20:04:20,Jose Estrada,This is by far the worse costumer services I have ever received.,1
03/06/2022 15:43:58,Roman Piasetskyi,Customer service could be better,1
03/17/2022 00:54:17,Ch Ris,The atm gives out…..singles!!!!👀👍🏼,5
02/16/2020 02:18:27,Roman Yavorskyi,,5
03/20/2023 17:59:22,Maksym Aneste,,5
12/31/2019 21:03:42,Brittany Davis,,1
07/05/2020 10:42:32,Ives Gomez,,4
08/08/2020 13:28:38,Catrice Keys,,5
