datetime,author_title,review_text,review_rating
03/08/2024 22:32:46,Sorry Mate,"I've been banking at the 53rd Bank branch located at 5918 North Broadway, Chicago, IL 60660, for some time now, and unfortunately, my experiences have been far from satisfactory. Despite the branch's location in an area known for its safety challenges, my primary concern lies with the customer service, particularly the behavior of the tellers and the management team.

On numerous occasions, I've encountered issues with deposit errors. Despite providing clear written amounts on deposit slips, the amounts entered into the system by the tellers have often been incorrect. It appears as though there is a significant lack of training, or perhaps a disregard for accuracy and customer service, which is concerning.

Furthermore, the behavior of the branch manager has been particularly disappointing. Without knowing his name, he is identifiable by his short stature, bald head, and heavier build. His mannerisms towards customers are not only rude but also show a clear bias. In a neighborhood predominantly inhabited by the Black community, he exhibits impatience and a lack of respect, often rushing Black customers and making excuses such as broken machines or computer issues to expedite their departure. Conversely, his interactions with White customers are noticeably different, showcasing patience and a welcoming demeanor.

This differential treatment is unacceptable and goes against the principles of equality and non-discrimination that every institution, especially banks, should uphold. The lack of professionalism and evident bias not only tarnishes the bank's reputation but also affects the community's trust in this establishment.

I urge the management of 53rd Bank to address these issues promptly. Proper training and a thorough review of customer service practices are essential to ensure that all customers are treated with the respect and fairness they deserve. Until then, I am compelled to advise potential customers to consider their banking options carefully before deciding to bank with this branch.",1
03/09/2024 14:50:58,Yvonne Perez,Had a great experience the Staff was very helpful and very friendly! Awesome Bank,5
07/18/2021 00:05:38,bearwoody,"Awful!  Took 2 buses from Edgewater to the Belmont and Clark location today to deposit checks, only to find that it has closed, and that there is a new location at Belmont and Sheffield (which is not on Google Maps by the way).  So I walked over there.  The card swipe was broken, so I couldn't enter the vestibule.  Then I walked to the Broadway and Addison location.  All they had was a beaten up 20th century exterior ATM.  Tried to deposit my checks there.  It accepted them, then told me that it couldn't deposit them, and spit them back out to me.  Took the bus home. Total waste of two and a half hours.  My experience was a FifthThird WORSE.  Banked with them for over 20 years, and they sure have deteriorated.  They're spending too much money pushing their brand, and not enough on providing service. Now thinking of switching banks.",1
12/14/2017 06:08:44,Daniel Walasinski,"I used to bank here in 2015. At that time they made a big mistake that I still lay for today. I had a job around the corner at the time and rather than do direct deposit I preferred to go inside to deposit my checks with the agents, that's how I always used to do it in Ohio. Everyday it seemed like they would repeat the same salesman pitches, ""hey have you heard of XYZ dah dah dah."" They would sometimes hesitate to say it because of how many times I've told them I'm uninterested. So one day I was like, ""Only if the new card is better than the one I got."" So here is when the real conartist work came into play. While talking with a banker she said that by filling out an application she can see if I'm able to get a better credit card (I was looking for lower rates just out of spite, I had a 0$ balance but was on the same card since I was 18, so perhaps we could go from 12% to 7%). A week later I get a Trio Rewards card in the mail, online my other card is cancelled. I return and say, immediately reverse what you have just done without my permission. . . So for two years I used my old platinum card, but every so often I would get hit with a $20 late payment few, I was thinking. . have I ever got those before, that's strange. . I checked and my % has also increased. . Finally while discussing the details with my agent back in Ohio he was shocked to find out that my platinum card was linked to the Trio Account which was an entirely different number and plan. . So my advice to you, get direct deposit and never go inside to do paperwork or look for something, they will bait and switch you, and not even the manager will stand behind you once you realize that you have just been scammed. It's a shame what the banking industry has become, handing out loans and money to everyone and then trying to gamble it back with fees and rates, and the poor employees trying to commission themselves to career success.",1
04/18/2018 00:21:36,Jeevan Singh,"Horrible customer service from the manager/banker. Would not reverse a fee that was a result of another tellers error that did not update our account preferences like they said they would. The banker offered to reduce “$6” of the $36 penalty. Kind of ridiculous considering we had multiple business accounts with them for almost 4 years now. I have previous banking experience and to offer a partial waiver is hysterical and shows how much this branch cares about client retention. Certain branches are allowed a certain amount every “period” to waive fees before upper management can step in to override this scenario. Closed that account on the spot and plan to switch our other businesses to another bank that is accountable with their actions. This event occurred on 4/16/18. The teller that was working was very kind, and she is honestly the only reason why I am giving a 2 star review.",2
04/14/2018 10:51:06,jack hamilton,"I stopped in to open a new checking account. I was told that I didn't qualify. I was told I should call something like quick cash or something. I wasn't going to call anybody. I always get credit card offers, loan offers etc. I went to PNC bank & opened a new checking account in 15 minutes. Save yourself a trip & go somewhere else.",1
11/14/2014 15:44:59,Chris Patterson,"this bank sent a payment to my car company that was not authorized, then gave me over draft fees when my account went negative. after trying to contact the bank manager several times to no avail, fiftth third sent me to collections instead of resolving it for me...most unprofessional experience i have ever had",1
02/09/2022 03:23:16,Osvaldo Beltran,Walked in with the intention of opening up an account. Jose was very polite and answered all my questions in a very diligent manner. Definitely walked out satisfied and happy I came in!,5
01/22/2020 15:21:31,Maurice Miller,Amazing branch. I do all my banking here and everyone is super helpful. Zohra is nice and helps answer any questions I may have. Highly recommend this location.,5
07/31/2018 15:11:35,Bryn Davis,"They are always super nice at this location, but these people have no clue what they are doing. They have made life so much more difficult with their stupidity to a point where I am seriously considering changing banks.",1
11/14/2019 16:43:50,Derek Locascio,Filed all the paper work to send out an important business wire.  Then they forgot to send it.  Delayed a shipment and cost the business a lot of money. Very incompetent over there.,1
11/05/2021 21:34:45,john theodore,This is the first time I went to this bank and have a very bad experience with this banking assistant name jose have me wasted my time.,1
09/12/2023 22:04:20,Hidemi Zoë Ihaza,I endured a terrible banking experience,1
07/02/2016 15:35:52,Landon S.,"Opened a checking account with Michael today. Very helpful, professional & friendly. Happy to do business here in the future.",5
08/17/2015 17:21:07,Muhmet Saad,"Best costumer service i ve ever had in a bank .. Nice , friendly with a great smile and very informative ... I really appreciate their help ..",5
10/26/2021 04:33:37,Media One,Second time that atm kept my money without depositing....they need a new atm,1
08/15/2019 13:56:14,Mr. Lark,Great customer service and amazing people.,5
06/17/2016 11:04:46,Amin Mahmoud,👍🏽👍🏽👍🏽👍🏽,4
12/20/2015 09:58:42,yousif awaneesian,,5
08/18/2016 00:53:34,JasonJaebong Shin,,1
10/10/2023 17:20:12,Thomas Johnson,,5
09/08/2018 17:46:56,Theresa Padilla,,5
02/18/2017 19:07:25,Matt Pudnos,,5
04/26/2021 16:43:22,Elizabeth,,5
01/16/2023 19:44:24,Kingsley Osei,,5
