datetime,author_title,review_text,review_rating
10/02/2023 18:40:20,Veronika Radkevich,Great customer service. Very very satisfied,5
11/18/2023 14:26:59,Manuel Clua,This place is not open on Saturdays. I don't understand why appears open in the website. Time wasted,3
11/13/2020 19:29:59,danny lee,All I can say is I hope this close this branch ...the bankers here do not know the policy give a hard time to cash and employers check .it’s a privilege to have a business accounts in your branch .respect the employee of the business account holder ..,1
10/13/2021 17:45:06,NJ A,"Don't do business with this bank. Once the account is closed you are unable to print statements and they charge you $2 per statement plus your time to go to the branch.

Others banks like Chase,  TD Bank and Citibank do not charge you anything even if the account is closed!!! And you can do it online.

I spoke to Mrs. Melissa Karim at First  Horizon to complaint and her response was irrelevant and just it is bank policy.",2
01/31/2020 21:06:13,Vee Elizo,"I love this branch!  The staff and tellers are wonderful people--personable, helpful, servicable and just overall friendly.  As soon as you walk in the lobby they welcome you and treat you with respect.  Great service, great location.",5
03/29/2023 15:13:24,mike lev,Much better than the previous branches I've had to endure.,5
11/13/2020 19:49:09,yury B,Teller is rude to many fees  not going to open a account here ever ...,1
10/25/2023 18:25:21,Marta e Gillette,Pleasant .,5
02/26/2019 01:46:40,alex Alex,,1
10/05/2021 17:12:54,Rich Lopez,,1
