datetime,author_title,review_text,review_rating
03/04/2024 15:05:31,Audra Borger,Sheri went above and beyond for us. There were certain issues with my credit report and she worked tirelessly to help get them resolved. I felt confident in every single  recommendation she made and knew she understood market conditions better than anyone I spoke to.  I would use her again and will refer her to everyone I know,5
10/06/2023 20:40:31,Kevin Walker,"The experience with this company and Sheri was great. No hassle and they did what they said they would do. I have used Sheri before, and this time was no different than the last time. I would highly recommend Sheri and her staff.",5
09/17/2023 12:20:55,Brandi Ayala14,Mickey Lynam is the best asset to First Horizon.  He is the reason we do business with the mortgage company.,5
08/18/2021 21:23:37,Charlotte Laing,I just moved to Frisco from AR doing business with Iberiabank and did not want to switch banks even though just a couple locations in Dallas.   Ben Castillo made that transition so pleasant after helping me with a wire transfer.  Fast and efficient,5
08/20/2022 04:41:13,Janelle Dudash,Jill went above and beyond to help me.  She's very responsive and great at following up. Overall great experience!,5
10/26/2020 14:37:32,Chance Jacobs,"I work with Banks and Mortgage companies all the time, but IberiaBank is one of the worst to deal with. They don't have any of their customers information together and wait to the last minute for home closing details. Would not work with this bank",1
12/11/2020 16:02:53,Jae Chung,This branch serves their Private Banking clients.  Service level and quality are superior and highly customized.,5
06/15/2021 20:04:40,R K,Amazing customer service and best private banking experience.,5
04/15/2023 19:17:58,Robert Stoops (Romeo Robert),"Great customer service, comfortable place to do business  !!!!",5
06/14/2021 19:08:32,Candace Murphy,Not a good bank for business. Maybe for consumers but not for business.,1
02/22/2024 14:11:28,"Devon O'Guinn MD, MS",,5
06/01/2023 23:34:40,Brian,,5
12/06/2023 12:06:45,Kassidy Thomas,,5
