datetime,author_title,review_text,review_rating
01/17/2024 04:37:09,Karen Ferello,I’ve banked here for years. The staff is always courteous and professional. The White House branch is a step above some other ones I’ve gone to.,5
03/19/2024 21:15:18,Amber Morgan,They are very helpful. Especially the one on Indian lake. They are always so professional and helpful and quick.,5
12/22/2023 20:24:48,darrell lassiter,So glad to have these people take care of my financial needs. They treat me like family!,5
08/18/2023 21:19:16,Evelyn Dickie,This has always been my father's bank and it's been had several names but the latest is the name above an my dad passed an left me a lil money an I stayed with this bank 2 get a checking account and everyone is so helpful and nice an I feel like it was a good decision,5
04/23/2019 23:26:36,T G,"Today I went to make a deposit since I was in White House. I drive up to the window. A teller was there but she took several minutes to even acknowledge I was there.  Then she told me It would be a minute and just walked away. After A couple more minutes another teller came and said hi and took my deposit and said she would be right back. Finally the first teller came back and said "" she got you taken care of"". A 3 minute transaction took 10 minutes. This is the 2nd time, I have had a negative experience at this branch. I went in the bank last time. 2 tellers were helping one customer. They didn't even acknowledge me. My son was small and throwing a ball around. They didn't even look up, I walked out. I went to the branch in Portland. They always acknowledge you and are very nice.",1
12/16/2021 19:13:02,Ivan T,"Great staff with better management, they all make you feel so welcomed on every visit . This branch is the only one to go towith great customer service (sadly I can't say the same to the branches in Madison and Nashville)",5
01/15/2022 21:19:33,Randee Warga,"My debit card was locked from unusual activity so I went in.Very helpful and friendly. Easy to talk to and ask questions, she made sure everything was perfect before I left.",5
08/24/2022 20:07:33,Bill mcknight,Very nice management and staff. Have always liked their tellers more than other banks in White House.,5
02/17/2021 14:07:22,Lisa Marie Peterson,The new MGR Mr Bass will go above & beyond to help you -He restored my faith in the new ownership of this bank,5
04/03/2019 16:52:56,diane tweed,Such wonderful employees. They are very helpful especially Ms Mika and Brittney 😊,5
10/24/2022 14:10:36,jason broadway,Always great service with a smile thanks,5
03/24/2022 22:07:12,agarrison,,1
12/24/2022 03:43:28,Mary Proctor,,5
