datetime,author_title,review_text,review_rating
12/05/2023 14:33:12,K J,"Friendly, fast & accurate employees. Nicely appointed building. The location is convenient to Arlington.
I love their online banking. It is so easy and fast, and I really like how easy it is to replace a debit card - since I have a hard time keeping up with mine.  It's also nice that they will work with you if you overdraw every once in a decade - since I also have a hard time keeping up with my balance !",4
12/15/2023 12:03:00,Jessica White,"VERY unprofessional. received a call from one of their bankers regarding a problem with an account that I share with a family member. my account was frozen without my knowledge and when I tried to share that it upset me a little that I was not informed, I was belittled. I was told that I was a “big girl” now, and that I didn’t need to be sharing an account with that family member anymore. Banker was very rude and stated that they didn’t care if I closed my accounts- and I never even threatened to. I never said one rude word to this man, but he was unkind and cold with me. I genuinely can’t believe that they are allowed to speak to you in that manner. Not even McDonald’s would tolerate their employees speaking to you in the way that he spoke to me. I’m actually considering closing my accounts now since he mentioned it. It would save me from being at risk of receiving the same treatment in the future. I’d leave 0 stars if I could.",1
08/17/2018 21:08:05,Leigh Ann Augustine,"I had someone hack into an online account where I had my debit card info stored. Within 30 minutes, they had charged over $4000. First Tn fraud dept caught it immediately before anything shipped. Sooooooo thankful. I've been a First Tennessee customer since 1978 and will continue to be!!",5
11/17/2023 00:29:27,LAangeleyezz M,Friendly. Employees nice environment,5
07/29/2018 00:13:32,Neal George,Friendly nice people but there app sucks it won’t let me log into smh😪,3
11/16/2020 16:38:37,Brandon Smith,Allways a great experience.  Great place to bank. Love the staff,5
11/27/2020 16:51:31,bryan ash,Just very nice people work at this bank,5
03/31/2023 14:51:31,Frank L.,Very cordial and friendly staff,5
04/23/2022 16:10:17,Duc Truong,Very bad customer service. Helpless!!!,1
02/07/2020 19:00:57,Tiffany Rose,The ATM seems to always be broken at this location  especially on Fridays.,1
08/13/2018 20:19:33,Mark Smith,Fast friendly banking.,4
02/22/2022 21:43:23,Sue Collins,,5
04/06/2021 17:23:19,Ya Ton,,5
05/14/2020 21:18:40,Durran Cage,,5
06/26/2019 21:00:35,Sue Collins,,5
