datetime,author_title,review_text,review_rating
09/11/2023 15:25:36,Shannon Mckee,"If I could leave no stars I would. I have never been treated more poorly than at this branch by more than one teller. There is always attitude, or I never have “enough proof” that it is in fact me making withdrawals and am constantly being questioned. Recently took the cake as I had to make a large withdrawal and accidentally wrote the wrong account number (I have several with M&T) The teller completely embarrassed me and announced my error in front of everyone. I will never go to this branch again.",1
01/08/2024 16:46:42,Apocalypse Cow,Does not pay enough for you loaning your money to them. Overcharged when you need a loan,3
04/01/2024 20:14:49,D B,Awful. Awful. Awful. Can’t trust banks either anymore,1
05/27/2020 20:19:43,Andrew Mattei,"Not happy with peoples bank period, but this location is just as bad. I’ve been a loyal customer for awhile now. Ever since they switched from Farmington savings to people’s it’s been a nightmare. I’d say 3.5 years now. I’ve been dealing with an issue for a month now regarding an affidavit I had to fill out to receive a refund from a charge that was made to my account. So I filled it out & waited to hear something back, but all I received was “ohh you still have to sign the affidavit still.” Keep in mind, I’ve now done this 3 times so a lack of communication with the branch seems to be a big issue here. It’s been a month & I still haven’t received my refund yet. Constant “Ohh no worries will handle it & call you back!” & never receive a call back. Not happy at all with that’s going on & on top of most likely switching, going to have to deal with corporate to receive my money that’s OWED to me.",1
05/01/2021 11:17:37,Kevin S,"Sat in drive through for almost an hour during covid, Only 1 teller and she's old and slow.  ATM is down a lot, machines inside the lobby they use don't work. This bank is a mess. No wonder they are always selling the place. I'm switching banks",1
07/16/2022 22:22:37,Kenin Crane,"I am rating one star for the conduct and poor treatment and customer service I received at the bristol banking branch at stop and shop on Farmington Avenue.........

There was one banking teller on duty at the time I was going in for a transaction for 100 dollars the bank teller which was a woman teller race unimportant was very rude and told me she does not want to help me I again ask this woman teller again  are you refusing to give me service and she replied , no i will not help u at this time please use the ATM  MACHINE  IF U NEED TO GET CASH  SINCE I DIDNT GET THE CASH I WANTED I ASKED IF SHE COULD GIVE ME A  TEMP CARD  SHE REFUSED AND AFTER SEVERAL ATTEMPTS AND NO HELP SHE THAN  TRIED to give me a card to call cooperate headquarters on her conduct SHE APPARENTLY WAS NOT PROFESSIONAL  AND did not help me and told me  am isoeaking english do u get what am i am saying  ok and i quote ""SPEAKING ENGLISH AND WHAT DONT u UNDERSTAND""  AS IF SHE WAS BUSY ALL SHE HAD tO SAY IS  i will not help you  and i would have been ok with that
I'm a customers AND customers come first AND SHOULD BE TREATED ACCORDINGLY THE BANK TELLER REFUSED  to help me,  the time was ariund 1 or 130 pm for a 20 plus year account holder I did not appreciate being treated with disrespect as this bank teller was VERY UNACCEPTABLE  BAD CUSTOMER SERVICE SKILLS VERY RUDE AND UNWILLING TO HELP AND POOR AT HER JOB

All I needed was a temp card or 100 dollars transaction and she refused and was very disrespectful towards me

Awful customer service skills and I will never visit that branch again I was highly disgusted and felt very disrespected by this teller.....,,,

Retraining is a must

Very disgusted",1
06/22/2019 00:56:24,Melissa Jacobs,"Since the switch from Farmington Bank to People's, I've had some difficulties with the on-line app and on-line service.  However, after a mix up I went into the Bristol office on Broad Street a little bit upset and concerned.  I have to recognize Ms. Joann Uribe the Vice President for her help.  She was so understanding, attentive, did everything to help me and was very professional.  A special Thank You!",5
05/21/2020 20:01:23,Grant Campbell,Have personal mortgage and checking account with Peoples’ as well as multiple business accounts. they have always done a good job.,5
05/23/2020 16:00:01,Dwight Smith,Really good and fast customer service. Kind and friendly staff. Moe Chislum is a great customer service representative. Really good service. Thank you.,5
03/31/2022 20:34:45,Paul Muscara,This location is better than it has been since before 2020. Helpful and friendly staff.,5
06/12/2020 15:48:16,april rancour,Slowest service i have ever experienced. In line at drive through for 35 minutes!,1
02/17/2021 19:16:16,Bill Mutraji,Slowest service ever. Just just don’t care about customer waiting.,1
12/09/2020 21:35:51,Tracey Parker,Teller was rude. Not ve tdd pleasant,2
08/29/2022 17:07:55,prs957,👍,5
03/30/2021 23:54:30,john markham,The ATM is always broken,1
08/29/2023 14:53:14,Shane M Gordon (Sawuwaya),,3
12/16/2019 01:36:17,James Bettcher,,1
